[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	logcurrent
1.925689	9.989469e-008	-16.119149305858
1.930842	1.059165e-007	-16.06061478911
1.935461	1.122182e-007	-16.002820646674
1.940055	1.189321e-007	-15.944713094918
1.944701	1.260788e-007	-15.886358728649
1.949117	1.335824e-007	-15.828547321049
1.953653	1.415902e-007	-15.770328867121
1.958054	1.500258e-007	-15.71245855764
1.962392	1.590223e-007	-15.654221392988
1.966687	1.685117e-007	-15.596260653363
1.97105	1.785494e-007	-15.538400523315
1.975407	1.89247e-007	-15.480212796802
1.979643	2.005386e-007	-15.422259090026
1.983796	2.125471e-007	-15.364102226083
1.987959	2.252658e-007	-15.305984798634
1.992137	2.387242e-007	-15.247956926252
1.996155	2.530463e-007	-15.18969336101
2.000383	2.681596e-007	-15.131683511301
2.004351	2.841896e-007	-15.073624215901
2.008487	3.011222e-007	-15.015749674519
2.011841	3.191155e-007	-14.957712730727
2.016163	3.382044e-007	-14.899615390513
2.020045	3.584307e-007	-14.841530501032
2.023819	3.798428e-007	-14.783508354027
2.027741	4.025634e-007	-14.725413236964
2.031559	4.266483e-007	-14.667305816502
2.035427	4.521152e-007	-14.609328822331
2.039154	4.791221e-007	-14.551310365964
2.042862	5.07799e-007	-14.493180136957
2.046474	5.381331e-007	-14.435159909613
2.050179	5.70308e-007	-14.377089271178
2.053712	6.043265e-007	-14.319151222149
2.057257	6.404605e-007	-14.261078388081
2.060894	6.78804e-007	-14.202933410852
2.064419	7.192994e-007	-14.144988154218
2.067904	7.622986e-007	-14.086927494501
2.071434	8.078816e-007	-14.028850323816
2.074847	8.560872e-007	-13.970893596834
2.078272	9.072504e-007	-13.912847349961
2.081655	9.615233e-007	-13.854747039242
2.085011	1.018923e-006	-13.796764370858
2.088341	1.078773e-006	-13.739686273803
2.091664	1.143661e-006	-13.681276037592
2.095055	1.212245e-006	-13.623036545531
2.098285	1.284335e-006	-13.565269483299
2.100561	1.361304e-006	-13.507067494065
2.104103	1.442872e-006	-13.448874986196
2.107388	1.528734e-006	-13.391070616067
2.110624	1.620223e-006	-13.332946763872
2.113806	1.71699e-006	-13.274937800178
2.116955	1.81945e-006	-13.216976300349
2.120131	1.928339e-006	-13.158851547357
2.123245	2.043449e-006	-13.100871491435
2.126318	2.16603e-006	-13.042614559066
2.129395	2.295728e-006	-12.984460553424
2.132448	2.432863e-006	-12.926441804832
2.135506	2.578518e-006	-12.868295742677
2.1385	2.732526e-006	-12.810284101845
2.141466	2.89597e-006	-12.75219044261
2.144461	3.068652e-006	-12.69427218074
2.1474	3.251635e-006	-12.6363526112
2.150331	3.44605e-006	-12.578281910387
2.153242	3.652308e-006	-12.520151261438
2.156187	3.870953e-006	-12.462009828008
2.159077	4.102165e-006	-12.403995674842
2.161928	4.347483e-006	-12.345913501019
2.164774	4.606688e-006	-12.288001397334
2.16762	4.882336e-006	-12.229886764109
2.170454	5.174111e-006	-12.17184302101
2.173264	5.48385e-006	-12.113703148936
2.176065	5.811037e-006	-12.055751517657
2.178844	6.15795e-006	-11.997766628014
2.181608	6.526276e-006	-11.939674068318
2.184368	6.91641e-006	-11.881613709078
2.187117	7.329481e-006	-11.823605849484
2.189852	7.767606e-006	-11.765548549168
2.192581	8.231758e-006	-11.707510957338
2.195284	8.723247e-006	-11.649519026968
2.198006	9.245205e-006	-11.591405519223
2.200689	9.797063e-006	-11.533427911082
2.203365	1.038252e-005	-11.475386935125
2.206049	1.09973e-005	-11.41786076984
2.208696	1.165154e-005	-11.360072197848
2.211388	1.235388e-005	-11.301540374191
2.214016	1.308916e-005	-11.243726151225
2.21666	1.38744e-005	-11.18546514251
2.219288	1.470236e-005	-11.127502532848
2.221889	1.557801e-005	-11.069650253536
2.224504	1.651136e-005	-11.011461929106
2.227108	1.749552e-005	-10.953565709808
2.229704	1.853951e-005	-10.895606427518
2.232294	1.964944e-005	-10.837461718783
2.23488	2.082526e-005	-10.779343884995
2.237453	2.207111e-005	-10.721241044443
2.240034	2.33924e-005	-10.66309937468
2.242594	2.478849e-005	-10.60513112543
2.245167	2.62755e-005	-10.546873611887
2.247707	2.784481e-005	-10.488863964433
2.250259	2.950386e-005	-10.430989455721
2.252798	3.126636e-005	-10.372967798771
2.255333	3.31347e-005	-10.314929486336
2.257866	3.511665e-005	-10.256835180991
2.260405	3.721775e-005	-10.198724759948
2.262953	3.944642e-005	-10.140567262572
2.265465	4.180113e-005	-10.082587185306
2.267982	4.429754e-005	-10.024581412929
2.270496	4.694091e-005	-9.9666209812785
2.273022	4.974847e-005	-9.9085308486014
2.275536	5.272725e-005	-9.8503781582568
2.278049	5.587746e-005	-9.7923494791541
2.28055	5.921318e-005	-9.7343664057187
2.283062	6.275012e-005	-9.6763500676036
2.285563	6.650388e-005	-9.6182502661399
2.288073	7.047738e-005	-9.5602187506936
2.290581	7.468406e-005	-9.5022438754766
2.293072	7.915189e-005	-9.444141893211
2.29557	8.388035e-005	-9.3861191793117
2.298071	8.888858e-005	-9.3281268826386
2.300573	9.420852e-005	-9.2699999346121
2.303066	9.982756e-005	-9.2120662604653
2.30554	0.000106	-9.1520714638522
2.308029	0.000112	-9.0970116866692
2.310535	0.000119	-9.0363870648527
2.313042	0.000126	-8.9792286510128
2.31555	0.000133	-8.9251614297425
2.318043	0.000141	-8.8667506675861
2.320538	0.00015	-8.804875263868
2.323048	0.000159	-8.746606355744
2.325537	0.000168	-8.691546578561
2.32803	0.000178	-8.6337270076722
2.330544	0.000189	-8.5737635429046
2.333035	0.0002	-8.5171931914162
2.335533	0.000212	-8.4589242832923
2.338039	0.000225	-8.3994101557599
2.340555	0.000238	-8.3432398842928
2.343046	0.000253	-8.2821210692368
2.345554	0.000268	-8.2245235774534
2.348047	0.000284	-8.1665363198031
2.350548	0.000301	-8.1084002932154
2.35305	0.000319	-8.0503194551794
2.355553	0.000338	-7.9924646624813
2.358059	0.000358	-7.9349775715636
2.360573	0.000379	-7.8779743528818
2.363075	0.000402	-7.8190584693453
2.365587	0.000426	-7.7610712116949
2.368097	0.000451	-7.7040432184616
2.370607	0.000478	-7.6458998254728
2.373121	0.000507	-7.5869995543731
2.375635	0.000537	-7.5295124634554
2.378145	0.000569	-7.4716301238379
2.380667	0.000603	-7.4135933612371
2.383192	0.000639	-7.3556061035867
2.385723	0.000678	-7.2963632700239
2.388241	0.000718	-7.239040988916
2.390774	0.000761	-7.1808772001026
2.393309	0.000807	-7.1221868896943
2.395845	0.000855	-7.0644090890275
2.398405	0.000906	-7.0064712519213
2.400959	0.00096	-6.9485772735024
2.403522	0.001017	-6.8908981619157
2.406044	0.001077	-6.8335758808079
2.408636	0.001142	-6.7749741677483
2.41123	0.00121	-6.7171349193735
2.413824	0.001282	-6.6593339204837
2.416439	0.001359	-6.6010061438131
2.419046	0.00144	-6.5431121653942
2.421679	0.001526	-6.4851053461199
2.424326	0.001618	-6.4265644603458
2.426977	0.001714	-6.3689254588065
2.429649	0.001816	-6.311118998803
2.432343	0.001925	-6.2528293112424
2.435055	0.00204	-6.194805471126
2.437788	0.002163	-6.1362591320112
2.440533	0.002292	-6.0783304801296
2.443306	0.002429	-6.0202756289621
2.446104	0.002574	-5.9622941698082
2.448917	0.002728	-5.9041865390009
2.451767	0.002891	-5.8461528159479
2.454636	0.003064	-5.7880340271038
2.457541	0.003247	-5.7300237858614
2.460474	0.003441	-5.6719931521668
2.463444	0.003646	-5.6141246027257
2.46645	0.003864	-5.5560523626319
2.469498	0.004096	-5.4977443912449
2.47257	0.00434	-5.4398809308698
2.475697	0.004599	-5.3819163904244
2.478868	0.004874	-5.3238403237791
2.482098	0.005166	-5.2656565843085
2.485352	0.005475	-5.2075630032796
2.488672	0.005801	-5.1497249624982
2.492037	0.006148	-5.0916284533058
2.49547	0.006516	-5.0334945882423
2.498966	0.006905	-4.9755094921209
2.502522	0.007317	-4.9175548710802
2.506149	0.007755	-4.8594174823536
2.509848	0.008218	-4.8014284085209
2.513611	0.008709	-4.7433983052715
2.517467	0.00923	-4.6852962304674
2.5214	0.009781	-4.6273135506738
2.525423	0.010366	-4.5692240592146
2.529484	0.010977	-4.511953104277
2.533667	0.011632	-4.453995358191
2.538029	0.012334	-4.3953956024128
2.542433	0.013068	-4.3375887852433
2.546946	0.013848	-4.2796144611082
