[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	logcurrent
1.73658	9.989515e-008	-16.119144701019
1.740679	1.059173e-007	-16.060607236019
1.74474	1.122183e-007	-16.002819755553
1.74893	1.189322e-007	-15.944712254102
1.753084	1.26079e-007	-15.88635714234
1.757171	1.335829e-007	-15.828543578048
1.761499	1.415908e-007	-15.770324629549
1.76579	1.500262e-007	-15.712455891436
1.770048	1.590225e-007	-15.654220135304
1.774374	1.685121e-007	-15.596258279643
1.778668	1.785496e-007	-15.538399403177
1.783052	1.892477e-007	-15.480209097939
1.787375	2.005389e-007	-15.422257594056
1.791743	2.125474e-007	-15.364100814632
1.796155	2.252656e-007	-15.305985686474
1.800504	2.387246e-007	-15.24795525068
1.805005	2.530473e-007	-15.189689409171
1.809409	2.681601e-007	-15.131681646741
1.813842	2.841902e-007	-15.073622104637
1.818331	3.011228e-007	-15.015747681974
1.822799	3.191155e-007	-14.957712730727
1.827334	3.382049e-007	-14.899613912119
1.831811	3.584317e-007	-14.841527711096
1.836337	3.798434e-007	-14.783506774428
1.840869	4.025644e-007	-14.725410752886
1.845431	4.26649e-007	-14.667304175808
1.849966	4.521157e-007	-14.609327716418
1.854522	4.791227e-007	-14.551309113675
1.859097	5.078e-007	-14.493178167676
1.863672	5.381342e-007	-14.435157865511
1.868249	5.703085e-007	-14.377088394459
1.872854	6.043271e-007	-14.319150229309
1.877459	6.404615e-007	-14.261076826706
1.882059	6.788048e-007	-14.202932232309
1.886617	7.192996e-007	-14.144987876169
1.89124	7.622992e-007	-14.086926707408
1.8958	8.078824e-007	-14.028849333572
1.900388	8.560879e-007	-13.970892779161
1.90497	9.072506e-007	-13.912847129514
1.909535	9.615237e-007	-13.854746623235
1.914099	1.018924e-006	-13.79676338943
1.918277	1.079033e-006	-13.739445288282
1.922985	1.143664e-006	-13.681273414441
1.927585	1.212251e-006	-13.623031596049
1.932083	1.284336e-006	-13.565268704686
1.936593	1.361327e-006	-13.507050598642
1.941124	1.44289e-006	-13.448862511154
1.945571	1.528751e-006	-13.391059495816
1.950054	1.620238e-006	-13.33293750593
1.954478	1.717006e-006	-13.274928481588
1.958895	1.819461e-006	-13.216970254584
1.963282	1.928358e-006	-13.158841694366
1.967641	2.04346e-006	-13.100866108394
1.972012	2.16604e-006	-13.042609942335
1.976346	2.295741e-006	-12.984454890748
1.980642	2.432877e-006	-12.926436050311
1.984935	2.578533e-006	-12.868289925399
1.989191	2.732541e-006	-12.810278612434
1.993442	2.895985e-006	-12.752185263012
1.997673	3.068663e-006	-12.694268596111
2.001868	3.251648e-006	-12.63634861322
2.006054	3.446064e-006	-12.578277847773
2.010256	3.652325e-006	-12.520146606858
2.01442	3.870973e-006	-12.462004661335
2.018566	4.102179e-006	-12.403992262016
2.022695	4.347502e-006	-12.345909130684
2.026791	4.606705e-006	-12.287997707054
2.030909	4.88235e-006	-12.229883896634
2.034992	5.174125e-006	-12.171840315234
2.039074	5.483867e-006	-12.113700048929
2.043139	5.811052e-006	-12.055748936365
2.047208	6.157968e-006	-11.997763704968
2.05126	6.526294e-006	-11.939671310241
2.0553	6.916428e-006	-11.881611106575
2.059326	7.329498e-006	-11.823603530086
2.06336	7.767627e-006	-11.765545845636
2.067388	8.231781e-006	-11.707508163285
2.071413	8.723267e-006	-11.649516734246
2.075435	9.245225e-006	-11.591403355942
2.07946	9.797081e-006	-11.533426073799
2.08346	1.038254e-005	-11.475385008812
2.087454	1.099747e-005	-11.41784531162
2.091449	1.165167e-005	-11.360061040586
2.095491	1.235407e-005	-11.301524994526
2.099478	1.308937e-005	-11.243710107543
2.102486	1.387449e-005	-11.185458655764
2.106785	1.470242e-005	-11.127498451879
2.110836	1.557806e-005	-11.069647043888
2.114878	1.651137e-005	-11.011461323463
2.118879	1.749556e-005	-10.953563423511
2.122879	1.853953e-005	-10.895605348741
2.1269	1.964947e-005	-10.837460192023
2.130911	2.08253e-005	-10.779341964253
2.134924	2.207115e-005	-10.721239232121
2.138943	2.339244e-005	-10.663097664724
2.142937	2.478852e-005	-10.605129915192
2.146969	2.627561e-005	-10.546869425486
2.15097	2.784486e-005	-10.488862168768
2.154964	2.950388e-005	-10.430988777843
2.158978	3.126636e-005	-10.372967798771
2.162989	3.313471e-005	-10.314929184537
2.167019	3.511667e-005	-10.256834611461
2.171043	3.72178e-005	-10.198723416504
2.175058	3.944645e-005	-10.140566502047
2.17907	4.180119e-005	-10.082585749939
2.1831	4.429756e-005	-10.024580961437
2.187111	4.694096e-005	-9.9666199161101
2.191139	4.974852e-005	-9.9085298435459
2.195183	5.27273e-005	-9.8503772099809
2.1992	5.587751e-005	-9.7923485843393
2.203236	5.921323e-005	-9.7343655613125
2.207273	6.275021e-005	-9.6763486333444
2.211319	6.650398e-005	-9.6182487624693
2.215357	7.047749e-005	-9.5602171899103
2.2194	7.468414e-005	-9.5022428042981
2.223446	7.915196e-005	-9.4441410088358
2.227509	8.388047e-005	-9.3861177487035
2.231556	8.888864e-005	-9.3281262076365
2.235622	9.420865e-005	-9.2699985546954
2.239679	9.982766e-005	-9.2120652587384
2.243683	0.000106	-9.1520714638522
2.247751	0.000112	-9.0970116866692
2.251833	0.000119	-9.0363870648527
2.255922	0.000126	-8.9792286510128
2.260031	0.000133	-8.9251614297425
2.264109	0.000141	-8.8667506675861
2.268202	0.00015	-8.804875263868
2.27232	0.000159	-8.746606355744
2.276417	0.000168	-8.691546578561
2.280523	0.000178	-8.6337270076722
2.284662	0.000189	-8.5737635429046
2.288774	0.0002	-8.5171931914162
2.292904	0.000212	-8.4589242832923
2.297041	0.000225	-8.3994101557599
2.301188	0.000238	-8.3432398842928
2.30533	0.000253	-8.2821210692368
2.309488	0.000268	-8.2245235774534
2.313631	0.000284	-8.1665363198031
2.317804	0.000301	-8.1084002932154
2.321972	0.000319	-8.0503194551794
2.32616	0.000338	-7.9924646624813
2.330332	0.000358	-7.9349775715636
2.334534	0.000379	-7.8779743528818
2.338737	0.000402	-7.8190584693453
2.342949	0.000426	-7.7610712116949
2.347162	0.000451	-7.7040432184616
2.351387	0.000478	-7.6458998254728
2.355631	0.000507	-7.5869995543731
2.359884	0.000537	-7.5295124634554
2.36413	0.000569	-7.4716301238379
2.368387	0.000603	-7.4135933612371
2.372673	0.000639	-7.3556061035867
2.376965	0.000678	-7.2963632700239
2.381266	0.000718	-7.239040988916
2.385569	0.000761	-7.1808772001026
2.389891	0.000807	-7.1221868896943
2.394232	0.000855	-7.0644090890275
2.398582	0.000906	-7.0064712519213
2.402952	0.00096	-6.9485772735024
2.407331	0.001017	-6.8908981619157
2.411654	0.001077	-6.8335758808079
2.416092	0.001142	-6.7749741677483
2.420542	0.00121	-6.7171349193735
2.424986	0.001282	-6.6593339204837
2.429485	0.001359	-6.6010061438131
2.433966	0.00144	-6.5431121653942
2.438496	0.001526	-6.4851053461199
2.443039	0.001618	-6.4265644603458
2.447598	0.001714	-6.3689254588065
2.452204	0.001816	-6.311118998803
2.456814	0.001925	-6.2528293112424
2.461479	0.00204	-6.194805471126
2.466164	0.002163	-6.1362591320112
2.470873	0.002292	-6.0783304801296
2.475611	0.002429	-6.0202756289621
2.480387	0.002574	-5.9622941698082
2.485199	0.002728	-5.9041865390009
2.49004	0.002891	-5.8461528159479
2.494923	0.003064	-5.7880340271038
2.499844	0.003247	-5.7300237858614
2.50481	0.003441	-5.6719931521668
2.509815	0.003646	-5.6141246027257
2.514875	0.003864	-5.5560523626319
2.519985	0.004096	-5.4977443912449
2.525112	0.00434	-5.4398809308698
2.53031	0.004599	-5.3819163904244
2.535578	0.004874	-5.3238403237791
2.540876	0.005166	-5.2656565843085
2.546257	0.005475	-5.2075630032796
2.551682	0.005801	-5.1497249624982
2.557158	0.006148	-5.0916284533058
2.562714	0.006516	-5.0334945882423
2.56834	0.006905	-4.9755094921209
2.574015	0.007317	-4.9175548710802
2.579788	0.007755	-4.8594174823536
2.585609	0.008218	-4.8014284085209
2.591505	0.008709	-4.7433983052715
2.597494	0.00923	-4.6852962304674
2.603552	0.009781	-4.6273135506738
2.609694	0.010366	-4.5692240592146
2.615826	0.010977	-4.511953104277
2.622126	0.011632	-4.453995358191
2.628569	0.012334	-4.3953956024128
2.635038	0.013068	-4.3375887852433
2.6416	0.013848	-4.2796144611082
2.64826	0.014677	-4.2214736363531
2.654987	0.015553	-4.1635017329197
2.661812	0.016482	-4.1054864026409
2.668715	0.017465	-4.0475564007233
2.67573	0.01851	-3.9894441523967
2.682842	0.019618	-3.93130776684
2.689993	0.020789	-3.8733312783172
2.697271	0.022037	-3.8150324201145
2.704592	0.023352	-3.7570726454303
2.712032	0.024748	-3.6990106013134
2.719557	0.026231	-3.6408133615449
2.727156	0.027801	-3.5826832877095
2.734793	0.029459	-3.5247558128551
2.742525	0.031217	-3.4667924607606
2.750351	0.03308	-3.4088264088266
2.758316	0.035061	-3.350665877363
2.766304	0.037159	-3.2925492760552
2.774357	0.039381	-3.2344718124928
2.782459	0.041731	-3.1765110210904
2.790663	0.044224	-3.1184876508369
2.798941	0.046866	-3.0604628131259
2.807312	0.049669	-3.0023742829425
2.815742	0.052637	-2.9443359844706
2.824289	0.055787	-2.8862144116481
2.832899	0.059115	-2.8282705796671
2.841633	0.062651	-2.7701756360755
2.850454	0.066399	-2.7120732828541
2.859344	0.070362	-2.6541019342752
2.868353	0.074564	-2.5960974619751
2.877439	0.079022	-2.5380289842711
2.886694	0.083741	-2.4800265767381
2.896078	0.088743	-2.4220107269767
2.905607	0.094053	-2.3638968258172
2.915213	0.099668	-2.3059106164226
2.923626	0.105168	-2.2521962074609
2.933657	0.111496	-2.1937665631649
2.943897	0.118198	-2.1353940946271
2.954218	0.125256	-2.0773956359729
2.96484	0.1328	-2.0189110419398
2.975559	0.140746	-1.9607984315491
2.986536	0.149185	-1.9025681324596
2.99758	0.158086	-1.8446160902373
3.009029	0.167575	-1.7863242667381
3.020727	0.17762	-1.7281088421518
3.032625	0.188213	-1.6701809787648
3.04487	0.199538	-1.6117505846

