[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	logcurrent
1.250909	9.98881e-008	-16.119215277506
1.253862	1.059093e-007	-16.060682769498
1.256806	1.122099e-007	-16.002894612456
1.259712	1.189237e-007	-15.944783725947
1.262546	1.260696e-007	-15.886431701549
1.265392	1.335732e-007	-15.828616194769
1.268345	1.415819e-007	-15.770387488716
1.271269	1.500179e-007	-15.712511216636
1.274227	1.590149e-007	-15.654267928425
1.277208	1.685053e-007	-15.596298633643
1.280201	1.785437e-007	-15.538432447763
1.283193	1.892419e-007	-15.480239746073
1.286125	2.005339e-007	-15.422282527185
1.289071	2.125416e-007	-15.364128103035
1.292017	2.252585e-007	-15.306017205321
1.294989	2.387164e-007	-15.247989600474
1.297985	2.530381e-007	-15.189725766671
1.30095	2.681502e-007	-15.131718565667
1.303905	2.841814e-007	-15.073653070294
1.306838	3.011151e-007	-15.015773253264
1.309771	3.191097e-007	-14.95773090613
1.312731	3.381995e-007	-14.899629878898
1.315671	3.584242e-007	-14.841548635804
1.318616	3.798345e-007	-14.783530205411
1.321562	4.025534e-007	-14.72543807808
1.324512	4.2664e-007	-14.667325270654
1.327447	4.521089e-007	-14.609342756929
1.330418	4.791166e-007	-14.551321845359
1.333353	5.07791e-007	-14.493195891346
1.336279	5.381232e-007	-14.435178306718
1.339212	5.703001e-007	-14.377103123438
1.342121	6.043219e-007	-14.319158833958
1.345055	6.404532e-007	-14.261089786195
1.347991	6.787944e-007	-14.202947553473
1.350912	7.192923e-007	-14.144998024982
1.353836	7.622921e-007	-14.08693602138
1.356761	8.078713e-007	-14.02886307329
1.359686	8.560805e-007	-13.97090142317
1.362621	9.072426e-007	-13.912855947403
1.365566	9.615136e-007	-13.854757127452
1.368488	1.018917e-006	-13.796770259445
1.371329	1.078966e-006	-13.739507382843
1.374263	1.143581e-006	-13.681345990837
1.377197	1.212158e-006	-13.623108315777
1.380108	1.28424e-006	-13.565343454275
1.383049	1.361223e-006	-13.507126997607
1.385986	1.442799e-006	-13.448925581014
1.388909	1.528664e-006	-13.391116406638
1.391842	1.620159e-006	-13.332986265388
1.394768	1.716937e-006	-13.274968668627
1.397689	1.819401e-006	-13.217003231927
1.400615	1.928301e-006	-13.158871253629
1.403537	2.043414e-006	-13.100888619486
