[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	logcurrent
1.96544	9.989503e-008	-16.119145902279
1.970976	1.05917e-007	-16.060610068422
1.976459	1.122181e-007	-16.002821537795
1.981937	1.189323e-007	-15.944711413287
1.987196	1.260794e-007	-15.886353969731
1.992581	1.335831e-007	-15.828542080851
1.997773	1.415906e-007	-15.770326042071
2.002999	1.50026e-007	-15.712457224537
2.008203	1.590222e-007	-15.654222021831
2.013305	1.685121e-007	-15.596258279643
2.018409	1.785497e-007	-15.538398843109
2.023466	1.892469e-007	-15.480213325212
2.028332	2.005385e-007	-15.422259588683
2.033227	2.125468e-007	-15.364103637536
2.038342	2.252651e-007	-15.305987906079
2.043282	2.387242e-007	-15.247956926252
2.048184	2.530464e-007	-15.189692965825
2.053045	2.681594e-007	-15.131684257125
2.057824	2.841898e-007	-15.073623512146
2.062645	3.011224e-007	-15.015749010337
2.06729	3.191159e-007	-14.957711477263
2.071967	3.382048e-007	-14.899614207797
2.076621	3.58431e-007	-14.84152966405
2.081228	3.798429e-007	-14.783508090761
2.085755	4.025637e-007	-14.72541249174
2.09026	4.26649e-007	-14.667304175808
2.094738	4.521154e-007	-14.609328379966
2.099143	4.791222e-007	-14.551310157249
2.102581	5.077978e-007	-14.4931825001
2.107227	5.381322e-007	-14.435161582063
2.111574	5.703065e-007	-14.377091901339
2.115885	6.043248e-007	-14.319154035202
2.12015	6.404591e-007	-14.261080574011
2.124357	6.788025e-007	-14.202935620623
2.128531	7.192974e-007	-14.144990934705
2.132666	7.622973e-007	-14.086929199871
2.136745	8.078799e-007	-14.028852428087
2.1408	8.560856e-007	-13.970895465804
2.144829	9.072486e-007	-13.912849333979
2.148815	9.615217e-007	-13.854748703269
2.152756	1.018921e-006	-13.796766333716
2.15658	1.075778e-006	-13.742466437214
2.160492	1.143643e-006	-13.681291776646
2.164339	1.212227e-006	-13.623051394125
2.168114	1.284318e-006	-13.565282719809
2.171888	1.361301e-006	-13.507069697836
2.175619	1.44287e-006	-13.448876372321
2.179274	1.52873e-006	-13.391073232614
2.182924	1.620217e-006	-13.332950467073
2.186527	1.716987e-006	-13.274939547423
2.190083	1.819443e-006	-13.216980147673
2.193626	1.928335e-006	-13.158853621683
2.197128	2.043442e-006	-13.100874917022
2.200611	2.166019e-006	-13.042619637494
2.204058	2.295721e-006	-12.98446360257
2.207445	2.432858e-006	-12.926443860026
2.210806	2.578511e-006	-12.868298457418
2.21414	2.732519e-006	-12.81028666358
2.217438	2.895961e-006	-12.752193550382
2.220694	3.068648e-006	-12.694273484245
2.223917	3.251628e-006	-12.636354763966
2.227121	3.446041e-006	-12.578284522077
2.230295	3.652302e-006	-12.520152904237
2.233444	3.870949e-006	-12.462010861346
2.236549	4.102153e-006	-12.403998600131
2.239637	4.347477e-006	-12.345914881129
2.242682	4.606681e-006	-12.288002916865
2.24571	4.882329e-006	-12.22988819785
2.248714	5.174099e-006	-12.171845340251
2.251709	5.483844e-006	-12.113704243058
2.254642	5.811029e-006	-12.055752894349
2.257566	6.157944e-006	-11.997767602365
2.260477	6.526272e-006	-11.939674681226
2.263355	6.916402e-006	-11.881614865748
2.266207	7.329475e-006	-11.823606668096
2.269037	7.767599e-006	-11.765549450347
2.271847	8.231757e-006	-11.707511078819
2.27463	8.72324e-006	-11.649519829422
2.277407	9.245202e-006	-11.591405843715
2.280159	9.797059e-006	-11.533428319368
2.28289	1.038252e-005	-11.475386935125
2.285616	1.09973e-005	-11.41786076984
2.288303	1.16515e-005	-11.360075630876
2.291004	1.235389e-005	-11.301539564729
2.293655	1.308917e-005	-11.243725387234
2.296312	1.38744e-005	-11.18546514251
2.298939	1.470237e-005	-11.127501852685
2.301542	1.5578e-005	-11.069650895467
2.30415	1.651135e-005	-11.01146253475
2.306738	1.749549e-005	-10.953567424535
2.309307	1.85395e-005	-10.895606966907
2.311869	1.964941e-005	-10.837463245545
2.314423	2.082526e-005	-10.779343884995
2.316961	2.207112e-005	-10.721240591362
2.319496	2.339242e-005	-10.663098519702
2.32201	2.478852e-005	-10.605129915192
2.324524	2.627556e-005	-10.546871328393
2.327013	2.784483e-005	-10.488863246167
2.329491	2.950385e-005	-10.430989794659
2.331959	3.126635e-005	-10.372968118603
2.334433	3.313468e-005	-10.314930089933
2.336887	3.511667e-005	-10.256834611461
2.339344	3.721776e-005	-10.198724491259
2.341787	3.944641e-005	-10.140567516081
2.344227	4.180115e-005	-10.08258670685
2.346659	4.429751e-005	-10.024582090168
2.349077	4.694095e-005	-9.9666201291437
2.351498	4.974847e-005	-9.9085308486014
2.353916	5.272728e-005	-9.8503775892912
2.356327	5.587747e-005	-9.792349300191
2.358738	5.921318e-005	-9.7343664057187
2.361132	6.275022e-005	-9.6763484739824
2.363535	6.650391e-005	-9.6182498150385
2.365925	7.047743e-005	-9.5602180412464
2.368317	7.468411e-005	-9.5022432059899
2.370712	7.915193e-005	-9.4441413878537
2.373093	8.388043e-005	-9.3861182255727
2.375477	8.888861e-005	-9.3281265451375
2.377865	9.420858e-005	-9.2699992977272
2.380239	9.982759e-005	-9.2120659599471
2.382607	0.000106	-9.1520714638522
2.384985	0.000112	-9.0970116866692
2.387367	0.000119	-9.0363870648527
2.389759	0.000126	-8.9792286510128
2.392155	0.000133	-8.9251614297425
2.394529	0.000141	-8.8667506675861
2.396921	0.00015	-8.804875263868
2.399319	0.000159	-8.746606355744
2.401697	0.000168	-8.691546578561
2.404093	0.000178	-8.6337270076722
2.406502	0.000189	-8.5737635429046
2.40889	0.0002	-8.5171931914162
2.411291	0.000212	-8.4589242832923
2.413708	0.000225	-8.3994101557599
2.416119	0.000238	-8.3432398842928
2.418528	0.000253	-8.2821210692368
2.42094	0.000268	-8.2245235774534
2.423365	0.000284	-8.1665363198031
2.425785	0.000301	-8.1084002932154
2.428219	0.000319	-8.0503194551794
2.430647	0.000338	-7.9924646624813
2.43309	0.000358	-7.9349775715636
2.435545	0.000379	-7.8779743528818
2.437998	0.000402	-7.8190584693453
2.440462	0.000426	-7.7610712116949
2.442928	0.000451	-7.7040432184616
2.445404	0.000478	-7.6458998254728
2.447893	0.000507	-7.5869995543731
2.450382	0.000537	-7.5295124634554
2.452877	0.000569	-7.4716301238379
2.455387	0.000603	-7.4135933612371
2.457914	0.000639	-7.3556061035867
2.460451	0.000678	-7.2963632700239
2.462986	0.000718	-7.239040988916
2.46554	0.000761	-7.1808772001026
2.468096	0.000807	-7.1221868896943
2.470676	0.000855	-7.0644090890275
2.473265	0.000906	-7.0064712519213
2.475874	0.00096	-6.9485772735024
2.478495	0.001017	-6.8908981619157
2.481091	0.001077	-6.8335758808079
2.483753	0.001142	-6.7749741677483
2.486437	0.00121	-6.7171349193735
2.489126	0.001282	-6.6593339204837
2.49185	0.001359	-6.6010061438131
2.494576	0.00144	-6.5431121653942
2.497334	0.001526	-6.4851053461199
2.500113	0.001618	-6.4265644603458
2.502916	0.001714	-6.3689254588065
2.505741	0.001816	-6.311118998803
2.508608	0.001925	-6.2528293112424
2.511507	0.00204	-6.194805471126
2.514435	0.002163	-6.1362591320112
2.517385	0.002292	-6.0783304801296
2.520378	0.002429	-6.0202756289621
2.523403	0.002574	-5.9622941698082
2.526476	0.002728	-5.9041865390009
2.529566	0.002891	-5.8461528159479
2.532711	0.003064	-5.7880340271038
2.535902	0.003247	-5.7300237858614
2.539139	0.003441	-5.6719931521668
2.542427	0.003646	-5.6141246027257
2.545767	0.003864	-5.5560523626319
2.549162	0.004096	-5.4977443912449
2.552601	0.00434	-5.4398809308698
2.556103	0.004599	-5.3819163904244
2.559675	0.004874	-5.3238403237791
2.563299	0.005166	-5.2656565843085
2.567009	0.005475	-5.2075630032796
2.570768	0.005801	-5.1497249624982
2.5746	0.006148	-5.0916284533058
2.57852	0.006516	-5.0334945882423
2.582506	0.006905	-4.9755094921209
2.586576	0.007317	-4.9175548710802
2.590744	0.007755	-4.8594174823536
2.594988	0.008218	-4.8014284085209
2.599323	0.008709	-4.7433983052715
2.60375	0.00923	-4.6852962304674
2.608288	0.009781	-4.6273135506738
2.612911	0.010366	-4.5692240592146
2.617586	0.010977	-4.511953104277
2.622425	0.011632	-4.453995358191
2.62743	0.012334	-4.3953956024128
2.632483	0.013068	-4.3375887852433
2.637669	0.013848	-4.2796144611082
2.642979	0.014677	-4.2214736363531
2.648405	0.015553	-4.1635017329197
2.653975	0.016482	-4.1054864026409
2.659657	0.017465	-4.0475564007233
2.665489	0.01851	-3.9894441523967
2.671461	0.019618	-3.93130776684
2.677557	0.020789	-3.8733312783172
2.683828	0.022037	-3.8150324201145
2.690224	0.023352	-3.7570726454303
2.696775	0.024748	-3.6990106013134
2.703482	0.026231	-3.6408133615449
2.710337	0.027801	-3.5826832877095
2.717325	0.029459	-3.5247558128551
2.724487	0.031217	-3.4667924607606
2.731819	0.03308	-3.4088264088266
2.739336	0.035061	-3.350665877363
2.747009	0.037159	-3.2925492760552
2.754864	0.039381	-3.2344718124928
2.762871	0.04173	-3.1765349843787
2.77107	0.044224	-3.1184876508369
2.779455	0.046866	-3.0604628131259
2.788036	0.049669	-3.0023742829425
2.796797	0.052637	-2.9443359844706
2.805769	0.055787	-2.8862144116481
2.814909	0.059115	-2.8282705796671
2.824303	0.062651	-2.7701756360755
2.833899	0.066399	-2.7120732828541
2.843695	0.070362	-2.6541019342752
2.853714	0.074564	-2.5960974619751
2.863981	0.079022	-2.5380289842711
2.874441	0.083741	-2.4800265767381
2.885195	0.088742	-2.4220219955346
2.896217	0.094053	-2.3638968258172
2.90748	0.099668	-2.3059106164226
2.917366	0.105173	-2.2521486656122
2.929251	0.111497	-2.1937575942735
2.941397	0.118195	-2.1354194760893
2.95381	0.125256	-2.0773956359729
2.96664	0.1328	-2.0189110419398
2.979689	0.140742	-1.9608268519436
2.993103	0.149188	-1.9025480234015
3.006855	0.158086	-1.8446160902373
3.020927	0.167569	-1.7863600722426
3.0354	0.177612	-1.7281538831391
3.050198	0.188209	-1.6702022315077
3.065477	0.199536	-1.6117606078037

