[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	logcurrent
2.033533	9.989617e-008	-16.119134490365
2.037945	1.059183e-007	-16.060597794735
2.04199	1.12219e-007	-16.002813517731
2.045538	1.189337e-007	-15.944699641954
2.049621	1.260803e-007	-15.886346831398
2.053513	1.335844e-007	-15.828532349129
2.057238	1.415924e-007	-15.770313329444
2.061002	1.500272e-007	-15.712449225956
2.064794	1.590236e-007	-15.654213218068
2.068367	1.685131e-007	-15.596252345369
2.071881	1.785506e-007	-15.538393802508
2.075368	1.89248e-007	-15.480207512716
2.079102	2.005397e-007	-15.422253604813
2.082429	2.12548e-007	-15.364097991737
2.085955	2.252666e-007	-15.30598124728
2.08939	2.387258e-007	-15.24795022398
2.092902	2.530477e-007	-15.18968782844
2.096155	2.681609e-007	-15.131678663453
2.099275	2.834203e-007	-15.07633488205
2.101858	3.011221e-007	-15.01575000661
2.105417	3.191152e-007	-14.957713670826
2.108744	3.38204e-007	-14.899616573231
2.11202	3.584307e-007	-14.841530501032
2.115255	3.798426e-007	-14.783508880561
2.118496	4.025635e-007	-14.725412988556
2.12167	4.266481e-007	-14.667306285273
2.124836	4.521145e-007	-14.60933037061
2.127935	4.791216e-007	-14.55131140954
2.131105	5.077987e-007	-14.493180727742
2.134228	5.381331e-007	-14.435159909613
2.137308	5.703073e-007	-14.377090498585
2.140366	6.043257e-007	-14.319152545938
2.143435	6.4046e-007	-14.26107916877
2.146521	6.788039e-007	-14.20293355817
2.149488	7.192986e-007	-14.144989266412
2.152554	7.622986e-007	-14.086927494501
2.155561	8.078814e-007	-14.028850571377
2.158533	8.560868e-007	-13.970894064076
2.16152	9.072498e-007	-13.9128480113
2.16449	9.61523e-007	-13.854747351247
2.16745	1.018922e-006	-13.796765352286
2.170305	1.079028e-006	-13.739449922071
2.173288	1.143659e-006	-13.681277786364
2.176249	1.212238e-006	-13.623042319958
2.179142	1.284326e-006	-13.565276490841
2.182076	1.361311e-006	-13.507062351949
2.184998	1.442879e-006	-13.448870134772
2.187893	1.528741e-006	-13.391066037125
2.190798	1.620228e-006	-13.332943677882
2.19367	1.716996e-006	-13.274934305696
2.196533	1.819452e-006	-13.216975201116
2.199402	1.928342e-006	-13.158849991615
2.202263	2.043453e-006	-13.100869533962
2.205109	2.166031e-006	-13.042614097392
2.207954	2.295732e-006	-12.984458811058
2.210781	2.432873e-006	-12.926437694457
2.213612	2.578522e-006	-12.868294191399
2.216442	2.732531e-006	-12.810282272038
2.219257	2.895976e-006	-12.752188370768
2.222052	3.068656e-006	-12.694270877237
2.224857	3.251638e-006	-12.636351688588
2.227661	3.446055e-006	-12.578280459452
2.230453	3.652319e-006	-12.520148249649
2.23325	3.870963e-006	-12.462007244668
2.236029	4.10217e-006	-12.403994455974
2.238802	4.347492e-006	-12.345911430858
2.241571	4.606696e-006	-12.28799966073
2.244335	4.882341e-006	-12.22988574001
2.247095	5.174116e-006	-12.17184205466
2.249866	5.483858e-006	-12.113701690108
2.252609	5.81104e-006	-12.055751001398
