[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	Voltage_2 (1)	Current_2 (1)	logcurrent
2.453356	9.128451e-005	0.039853	-6.528922e-011	-9.3015294452173
2.482391	0.00019	0.080015	-5.406297e-010	-8.5684864858038
2.501348	0.000291	0.119983	-6.0136e-010	-8.1421872907928
2.515604	0.00039	0.159732	2.482357e-010	-7.8493638188406
2.527622	0.000491	0.199489	4.858915e-010	-7.6190664301698
2.537901	0.00059	0.239753	-6.822158e-010	-7.4353880210645
2.547253	0.000691	0.280018	5.061205e-010	-7.2773707341966
2.555653	0.00079	0.31989	3.089221e-010	-7.1434776125032
2.563549	0.000891	0.360141	-3.838663e-010	-7.0231661304935
2.57081	0.00099	0.399997	6.123041e-010	-6.9178056148356
2.577789	0.001091	0.43996	-3.029562e-010	-6.8206605721312
2.584326	0.00119	0.480138	-1.259738e-010	-6.7338019718587
2.590641	0.001291	0.519889	7.387313e-010	-6.6523381671176
2.596605	0.00139	0.559873	-4.445818e-010	-6.5784515318395
2.602453	0.001491	0.599383	-4.59667e-012	-6.5083082431995
2.608116	0.001591	0.639863	5.516294e-010	-6.4433925296265
2.613501	0.00169	0.680244	-6.013302e-010	-6.3830267500472
2.618814	0.001791	0.719677	3.898179e-010	-6.3249811559036
2.623901	0.00189	0.760072	1.82503e-010	-6.2711784499106
2.628952	0.001991	0.800425	-6.872926e-010	-6.2191182539001
2.633802	0.00209	0.839974	4.403878e-010	-6.1705912130054
2.638618	0.002191	0.879733	1.420492e-010	-6.1233972183688
2.643251	0.00229	0.920076	-5.8613e-010	-6.079203461416
2.647882	0.002391	0.959755	6.325381e-010	-6.0360435905059
2.652328	0.00249	0.999918	-2.776751e-010	-5.9954725685055
2.656788	0.002591	1.039145	-2.877787e-010	-5.9557113774022
2.661074	0.00269	1.07983	6.982692e-010	-5.9182140853684
2.665375	0.002791	1.119799	-3.333013e-010	-5.881355324428
2.66954	0.00289	1.159567	-9.659343e-012	-5.8464987768578
