[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	Voltage_2 (1)	Current_2 (1)	logcurrent
-0.01083	-7.014644e-009	0.000195	3.695937e-010	-1.#IND
0.094537	-7.804789e-009	0.042179	-1.158495e-010	-1.#IND
0.189767	4.515768e-010	0.08315	-5.153348e-010	-21.518275657869
0.283978	7.45124e-010	0.125435	4.601042e-013	-21.017470468446
0.398459	-3.410625e-009	0.167316	-6.022102e-011	-1.#IND
0.489629	-2.706979e-009	0.209105	3.190312e-010	-1.#IND
0.583868	-4.995118e-009	0.250063	1.72387e-010	-1.#IND
0.689215	-3.481492e-009	0.292158	-2.271029e-010	-1.#IND
0.791537	9.880842e-010	0.333732	-2.068699e-010	-20.73525319914
0.886768	4.869934e-010	0.375	3.291352e-010	-21.442770545299
0.990103	-5.9517e-009	0.416585	3.139689e-010	-1.#IND
1.088346	-6.204648e-009	0.458766	-5.557836e-010	-1.#IND
1.182552	3.063206e-009	0.500757	-5.305105e-010	-19.603803757031
1.290969	4.131222e-009	0.54172	7.285942e-010	-19.304692589961
1.384217	-8.503034e-009	0.583808	6.982602e-010	-1.#IND
1.491558	-6.918413e-009	0.625174	-6.569124e-010	-1.#IND
1.59593	4.399551e-009	0.666352	-5.760106e-010	-19.241763346684
1.688094	3.903457e-009	0.708537	7.134249e-010	-19.361403266184
1.783323	-8.786226e-009	0.750068	7.589778e-010	-1.#IND
1.897846	-8.411851e-009	0.791585	-6.467989e-010	-1.#IND
1.992032	3.923735e-009	0.83261	-7.327141e-010	-19.356221830653
2.080019	4.252414e-009	0.875138	6.021761e-010	-19.275779015261
2.186491	-7.601638e-009	0.915783	6.729519e-010	-1.#IND
2.294906	-6.9791e-009	0.958394	-4.748655e-010	-1.#IND
2.388165	2.152235e-009	0.999776	-4.597003e-010	-19.956758999865
2.480197	1.701641e-009	1.041582	4.100439e-010	-20.191672757363
2.592893	-4.362399e-009	1.083437	5.517919e-012	-1.#IND
2.692071	-4.696311e-009	1.125024	-2.169806e-010	-1.#IND
2.790317	9.931277e-010	1.166501	-3.433996e-010	-20.73016185995
2.884486	1.296791e-009	1.208493	1.56294e-011	-20.463373085692
2.987962	-1.558224e-010	1.249647	-1.714673e-010	-1.#IND
3.092163	-9.707611e-010	1.290485	2.229491e-010	-1.#IND
3.183338	-5.126449e-009	1.333094	2.330631e-010	-1.#IND
3.290854	-5.187393e-009	1.374885	-2.877719e-010	-1.#IND
3.386113	2.218072e-009	1.416575	-5.153295e-010	-19.926627486868
3.494515	1.813144e-009	1.458546	6.628564e-010	-20.128203481963
3.597736	-8.740669e-009	1.500742	6.375785e-010	-1.#IND
3.696004	-8.30029e-009	1.540943	-9.906196e-010	-1.#IND
3.79022	4.743656e-009	1.583861	-6.114381e-010	-19.166457690528
3.892509	4.90052e-009	1.624729	6.426227e-010	-19.133924515011
3.992866	-8.31048e-009	1.666407	5.617219e-010	-1.#IND
4.090089	-9.140552e-009	1.708425	-6.822489e-010	-1.#IND
4.184136	4.692847e-009	1.749892	-5.658914e-010	-19.177226402413
4.292842	5.36133e-009	1.791282	6.476914e-010	-19.044053758316
4.390865	-8.634165e-009	1.833277	5.465431e-010	-1.#IND
4.492351	-8.821798e-009	1.874246	-5.658631e-010	-1.#IND
4.588484	4.637327e-009	1.916739	-5.10278e-010	-19.189127714291
4.688739	4.743578e-009	1.9582	3.44306e-010	-19.166474133676
4.783928	-4.640485e-009	1.99981	3.948744e-010	-1.#IND
4.889246	-4.574647e-009	2.042198	-2.574411e-010	-1.#IND
4.976327	1.342308e-009	2.083507	-4.19242e-010	-20.428875316533
5.08902	1.463855e-009	2.125321	-1.765265e-010	-20.342192470028
5.196406	6.590788e-010	2.166679	-1.461837e-010	-21.140178013461
5.291678	3.452708e-010	2.208899	2.684607e-010	-21.786692079255
5.394001	-5.359457e-009	2.250478	3.948723e-010	-1.#IND
5.49434	-5.592349e-009	2.291697	-4.596955e-010	-1.#IND
5.590539	3.260708e-009	2.333375	-3.282219e-010	-19.541321487233
5.690744	2.739325e-009	2.375921	-3.029491e-010	-19.715554297261
5.797989	-7.768614e-009	2.417195	7.033166e-010	-1.#IND
5.894799	-7.895909e-009	2.459116	7.488347e-010	-1.#IND
5.987381	5.522935e-009	2.499866	-5.203703e-010	-19.014356415063
6.090907	5.042281e-009	2.541464	-5.861124e-010	-19.105407277881
6.193178	4.065389e-009	2.583993	-9.754947e-010	-19.320756403568
6.289622	5.138576e-009	2.624842	-6.316288e-010	-19.086489838664
6.389815	5.963513e-009	2.666744	-5.507268e-010	-18.937606099984
6.486914	-1.790763e-009	2.708256	7.631298e-011	-1.#IND
6.5863	-1.881902e-009	2.750203	1.066521e-010	-1.#IND
6.690701	-5.253116e-009	2.792006	2.93743e-010	-1.#IND
6.78812	-5.243116e-009	2.834035	4.151026e-010	-1.#IND
6.895676	5.118499e-009	2.874448	-4.950617e-010	-19.090404604938
6.986182	5.15342e-009	2.916492	-4.445301e-010	-19.083605265003
7.087714	-7.773799e-009	2.958676	5.768979e-010	-1.#IND
7.190207	-6.356652e-009	3.000302	5.971309e-010	-1.#IND
7.289372	5.477565e-009	3.041932	-5.760049e-010	-19.022605177802
7.392885	5.614363e-009	3.08346	-4.394641e-010	-18.997937701318
7.491336	-8.077955e-009	3.125315	7.184813e-010	-1.#IND
7.595259	-7.869973e-009	3.166944	6.881516e-010	-1.#IND
7.689536	5.619285e-009	3.208748	-4.748705e-010	-18.997061405334
7.787042	4.207283e-009	3.249948	-7.074864e-010	-19.286448765763
7.891201	-4.615321e-009	3.290791	5.51616e-010	-1.#IND
7.995613	-4.473624e-009	3.333811	5.162244e-010	-1.#IND
8.088686	2.197751e-009	3.375058	-2.372046e-010	-19.935831272187
8.194112	2.617873e-009	3.416737	-4.141898e-010	-19.760903680949
8.291568	-3.613157e-009	3.458462	3.796951e-010	-1.#IND
8.389705	-4.018053e-009	3.500111	4.959871e-010	-1.#IND
8.488988	2.126927e-009	3.541296	-3.433996e-010	-19.968587621957
8.59253	2.86092e-009	3.583221	-3.636186e-010	-19.67212258552
8.685246	-3.116938e-009	3.625522	3.645353e-010	-1.#IND
8.792043	-3.506855e-009	3.666375	3.544153e-010	-1.#IND
8.887929	2.293899e-009	3.708525	-1.816013e-010	-19.893012847107
8.987064	2.734194e-009	3.75043	-3.231763e-010	-19.717429142859
9.093581	-3.152395e-009	3.791674	2.280083e-010	-1.#IND
9.191132	-3.147431e-009	3.833758	3.44306e-010	-1.#IND
9.290191	1.286691e-009	3.875631	-1.664203e-010	-20.4711920304
9.392738	2.62804e-009	3.916711	-3.130591e-010	-19.75702751574
9.491945	-2.54504e-009	3.958374	2.330717e-010	-1.#IND
9.591306	-2.236281e-009	4.000299	2.634073e-010	-1.#IND
9.690354	1.38792e-009	4.041047	-2.017939e-010	-20.39545961341
9.796885	2.531849e-009	4.083293	-1.815807e-010	-19.794315971094
9.893527	5.072652e-010	4.12504	1.72387e-010	-21.401987172171
9.988117	-1.638923e-009	4.16638	2.886853e-010	-1.#IND
10.09254	2.997459e-009	4.2087	-9.654597e-012	-19.625500907185
10.19486	4.12616e-009	4.250347	-1.917048e-010	-19.305918644571
10.2922	3.852874e-009	4.291724	-2.119323e-010	-19.374446473628
10.38963	4.080709e-009	4.333435	-5.010901e-011	-19.316995089118
10.48941	2.055978e-009	4.375282	1.117088e-010	-20.0025141898
10.5919	4.207108e-009	4.417229	2.229511e-010	-19.286490361168
10.68595	9.759306e-009	4.459651	-6.52778e-011	-18.445044545607
10.78624	9.744121e-009	4.500181	8.642544e-011	-18.446601708158
10.89093	9.395198e-009	4.541832	1.066518e-010	-18.483067129263
10.99317	1.409214e-008	4.584018	1.56294e-011	-18.077648641802
11.0928	2.022727e-008	4.625202	-1.563089e-010	-17.71623414297
11.18648	2.434623e-008	4.665936	-1.208917e-010	-17.530888824867
11.28153	2.523662e-008	4.70922	2.532904e-010	-17.494969722662
11.39029	3.246517e-008	4.751342	1.875573e-010	-17.243098014591
11.49114	4.562208e-008	4.791893	-1.815781e-010	-16.902874027092
11.59144	5.618582e-008	4.834054	-1.310157e-010	-16.69460142505
11.69136	6.420652e-008	4.875779	2.077803e-010	-16.561161073775
11.7947	8.468038e-008	4.917228	1.319358e-010	-16.284381903208
11.88134	1.100089e-007	4.958889	-1.562995e-010	-16.022704565336
11.99095	1.373928e-007	5.000124	-2.018076e-010	-15.800421860278
12.08516	1.635755e-007	5.04237	3.746503e-010	-15.625991179493
12.19202	2.091669e-007	5.083987	2.280075e-010	-15.380133339071
12.28918	2.731383e-007	5.125606	-4.647619e-010	-15.11328757663
12.38644	3.420211e-007	5.166797	-3.787886e-010	-14.88839340588
12.48927	4.209392e-007	5.209411	4.100417e-010	-14.680777431746
12.59068	5.40994e-007	5.250238	2.381211e-010	-14.429857648734
12.69432	6.945332e-007	5.292034	-2.018049e-010	-14.180025871719
12.79412	8.809189e-007	5.334044	-1.613586e-010	-13.942300269731
12.88964	1.112906e-006	5.375868	4.201569e-010	-13.708535945662
12.99004	1.435615e-006	5.41775	2.482357e-010	-13.453917229135
13.09236	1.850436e-006	5.459139	5.415065e-010	-13.200089270966
13.19073	2.390663e-006	5.50104	6.982783e-010	-12.943939824633
13.2834	3.127606e-006	5.54234	6.274696e-010	-12.675242702294
13.39122	4.169668e-006	5.584267	4.252134e-010	-12.38767414163
13.49455	5.553047e-006	5.625754	6.0724e-010	-12.101163771847
13.59068	7.513707e-006	5.66713	7.488198e-010	-11.798781605451
13.68783	1.034964e-005	5.708607	-5.203862e-010	-11.478558821467
13.79532	1.457214e-005	5.750581	1.976707e-010	-11.136399071398
13.8928	2.082143e-005	5.792307	5.162336e-010	-10.779527813178
13.99321	3.025041e-005	5.834359	8.246551e-010	-10.40600081986
14.09036	4.445552e-005	5.875876	4.858887e-010	-10.021021419238
14.1938	6.676242e-005	5.916901	5.516194e-010	-9.6143702105766
14.29366	9.899258e-005	5.95883	6.932037e-010	-9.2204656601335
