[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	Voltage_2 (1)	Current_2 (1)	cellpower
0.019703	7.722258e-008	21.00006	0.329912	1.52151649374e-009
0.039754	1.565503e-007	21.00005	0.329755	6.2235006262e-009
0.059774	2.308534e-007	21.00006	0.329653	1.37990311316e-008
0.07983	3.063831e-007	21.00005	0.329578	2.4458562873e-008
0.099872	3.987257e-007	21.00004	0.329505	3.98215331104e-008
0.119891	4.864089e-007	21.00005	0.329468	5.83160494299e-008
0.139949	5.87456e-007	21.00006	0.329415	8.2213879744e-008
0.159964	6.212685e-007	21.00003	0.329373	9.9380594334e-008
0.180025	7.126903e-007	21.00005	0.329338	1.283020712575e-007
0.20001	7.967624e-007	21.00005	0.329307	1.59360447624e-007
0.220052	9.11908e-007	21.00004	0.329277	2.00667179216e-007
0.240109	1.031114e-006	21.00005	0.32925	2.47579751426e-007
0.25993	1.082504e-006	21.00001	0.329223	2.8137526472e-007
0.279944	1.228814e-006	21.00005	0.329199	3.43999106416e-007
0.29996	1.325694e-006	21.00003	0.329192	3.9765517224e-007
0.319975	1.455828e-006	21.00005	0.329166	4.658285643e-007
0.340009	1.608969e-006	21.00006	0.329145	5.47063940721e-007
0.36004	1.753614e-006	21.00004	0.329129	6.3137118456e-007
0.380031	1.924143e-006	21.00005	0.329118	7.31233988433e-007
0.400062	2.095452e-006	21.00002	0.32909	8.38310718024e-007
0.420082	2.301433e-006	21.00004	0.329075	9.66790577506e-007
0.440109	2.542781e-006	21.00004	0.329071	1.119100803129e-006
0.460114	2.774066e-006	21.00003	0.329046	1.276386603524e-006
0.480128	3.062771e-006	21.00002	0.329041	1.470522114688e-006
0.500172	3.389201e-006	21.00005	0.329036	1.695183442572e-006
0.520191	3.859701e-006	21.00005	0.329017	2.007781722891e-006
0.540214	4.227375e-006	21.00003	0.32901	2.28368715825e-006
0.560242	4.618807e-006	21.00005	0.329012	2.587649671294e-006
0.580262	5.13636e-006	21.00004	0.328997	2.98043452632e-006
0.600286	5.567444e-006	21.00003	0.32898	3.342058688984e-006
0.620303	5.97601e-006	21.00004	0.32896	3.70693693103e-006
0.640246	6.520104e-006	21.00005	0.328958	4.174470505584e-006
