[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	Voltage_2 (1)	Current_2 (1)	cellpower
0.019551	-0.06412	20.99994	0.329396	-0.00125361012
0.039593	-0.063651	20.99992	0.329299	-0.002520134043
0.059586	-0.063859	20.99993	0.329216	-0.003805102374
0.079622	-0.063485	20.99992	0.329153	-0.00505480267
0.09962	-0.063417	20.9999	0.329101	-0.00631760154
0.119659	-0.063362	20.9999	0.32906	-0.007581833558
0.139677	-0.063298	20.99991	0.329003	-0.008841274746
0.159702	-0.063267	20.99992	0.328976	-0.010103866434
0.179703	-0.063168	20.99993	0.328961	-0.011351479104
0.199716	-0.063094	20.99992	0.328924	-0.012600881304
0.219725	-0.063076	20.99993	0.328898	-0.0138593741
0.239739	-0.063043	20.99991	0.328863	-0.015113865777
0.259772	-0.062945	20.99995	0.328857	-0.01635134854
0.279774	-0.062862	20.99993	0.328839	-0.017587153188
0.29979	-0.062834	20.99988	0.328823	-0.01883700486
0.319797	-0.062817	20.99992	0.328792	-0.020088688149
0.339831	-0.062752	20.9999	0.328782	-0.021325074912
0.359845	-0.06267	20.9999	0.328778	-0.02255148615
0.379847	-0.062601	20.9999	0.328763	-0.023778802047
0.399871	-0.062548	20.99992	0.328737	-0.025011131308
0.419881	-0.062503	20.99993	0.328734	-0.026243822143
0.43989	-0.062453	20.99989	0.328706	-0.02747245017
0.459896	-0.062406	20.99991	0.328709	-0.028700269776
0.479929	-0.062328	20.9999	0.32869	-0.029913014712
0.499943	-0.062246	20.9999	0.328677	-0.031119451978
0.519973	-0.062195	20.9999	0.328674	-0.032339720735
0.53998	-0.062141	20.9999	0.328651	-0.03355489718
0.559979	-0.062084	20.99989	0.328657	-0.034765736236
0.579997	-0.062024	20.99991	0.32864	-0.035973733928
0.600031	-0.061945	20.9999	0.32863	-0.037168920295
0.620041	-0.061865	20.99991	0.328626	-0.038358836465
0.639958	-0.061796	20.9999	0.328615	-0.039546844568
0.659974	-0.061742	20.99991	0.328601	-0.040748114708
0.679993	-0.061675	20.99989	0.328599	-0.041938568275
0.700025	-0.061599	20.99992	0.328597	-0.043120839975
0.720036	-0.06153	20.9999	0.328589	-0.04430381508
0.740051	-0.06145	20.9999	0.328567	-0.04547613395
0.760075	-0.061373	20.99991	0.328567	-0.046648082975
0.780093	-0.061307	20.99992	0.328552	-0.047825161551
0.800095	-0.061248	20.99987	0.328533	-0.04900421856
0.820125	-0.061162	20.99989	0.328536	-0.05016048525
0.840146	-0.061081	20.99992	0.32854	-0.051316957826
0.860165	-0.060987	20.99989	0.328538	-0.052458882855
0.880177	-0.060887	20.9999	0.32853	-0.053591336999
0.900185	-0.060807	20.99989	0.328512	-0.054737549295
0.920213	-0.060732	20.9999	0.328508	-0.055886375916
0.940213	-0.060644	20.9999	0.3285	-0.057018277172
0.960254	-0.060526	20.99989	0.328491	-0.058120333604
0.98024	-0.060432	20.9999	0.32848	-0.05923786368
1.000255	-0.060308	20.99987	0.328487	-0.06032337854
1.020266	-0.060201	20.99989	0.328475	-0.061421033466
1.040292	-0.06011	20.99988	0.328464	-0.06253195212
1.060304	-0.060022	20.99989	0.32845	-0.063641566688
1.08032	-0.059894	20.99989	0.328446	-0.06470468608
1.100335	-0.059787	20.9999	0.328446	-0.065785728645
1.120332	-0.059667	20.99989	0.328424	-0.066846849444
1.140367	-0.059563	20.99992	0.328425	-0.067923679621
1.160367	-0.059429	20.99988	0.328421	-0.068959450443
1.180431	-0.059336	20.99991	0.32842	-0.070042053816
1.200422	-0.059209	20.9999	0.328405	-0.071075786198
1.220443	-0.059083	20.99988	0.328404	-0.072107433769
1.240448	-0.058942	20.99989	0.328393	-0.073114486016
1.260452	-0.058814	20.99988	0.328385	-0.074132223928
1.28047	-0.058673	20.99988	0.328388	-0.07512901631
1.300482	-0.058554	20.99989	0.328381	-0.076148423028
1.320495	-0.058406	20.99989	0.328365	-0.07712483097
1.340507	-0.05825	20.99989	0.328375	-0.07808453275
1.3605	-0.058103	20.99989	0.328367	-0.0790491315
1.380487	-0.057956	20.9999	0.328352	-0.080007504572
1.400493	-0.057806	20.9999	0.328341	-0.080956898358
1.420463	-0.057655	20.9999	0.328338	-0.081896794265
1.440447	-0.057499	20.9999	0.328349	-0.082824262053
1.460436	-0.057334	20.99987	0.328328	-0.083732637624
1.48043	-0.057155	20.99989	0.328314	-0.08461397665
1.50042	-0.056979	20.99989	0.328317	-0.08549243118
1.520394	-0.056803	20.99988	0.328303	-0.086362940382
1.540411	-0.056624	20.9999	0.328297	-0.087224232464
1.560388	-0.056449	20.99988	0.3283	-0.088082342212
1.580396	-0.056268	20.99989	0.328298	-0.088925722128
1.600378	-0.056076	20.9999	0.328276	-0.089742796728
1.620364	-0.055879	20.99989	0.328271	-0.090544319956
1.640341	-0.055666	20.9999	0.328267	-0.091311222106
1.660341	-0.055457	20.9999	0.328255	-0.092077530837
1.680319	-0.055245	20.99989	0.328263	-0.092829223155
1.700304	-0.055043	20.99992	0.328244	-0.093589833072
1.720291	-0.054845	20.9999	0.32824	-0.094349359895
1.740276	-0.054631	20.99989	0.328239	-0.095073018156
1.760277	-0.054398	20.9999	0.328233	-0.095755548246
