[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	Voltage_2 (1)	Current_2 (1)	cellpower
-0.000379	-2.152987e-006	20.99978	0.329813	8.15982073e-010
0.01953	-0.044717	20.99976	0.329236	-0.00087332301
0.039562	-0.044672	20.99975	0.329135	-0.001767313664
0.059588	-0.044626	20.99976	0.329066	-0.002659174088
0.079613	-0.044592	20.99977	0.329007	-0.003550102896
0.099626	-0.044538	20.99974	0.328953	-0.004437142788
0.119654	-0.044494	20.99974	0.328898	-0.005323885076
0.139658	-0.044449	20.99976	0.328861	-0.006207658442
0.159695	-0.044418	20.99975	0.328823	-0.00709333251
0.179697	-0.044382	20.99972	0.328785	-0.007975312254
0.199701	-0.044353	20.99972	0.328754	-0.008857338453
0.219715	-0.044311	20.99973	0.328728	-0.009735791365
0.239718	-0.044274	20.99975	0.328693	-0.010613274732
0.259749	-0.044241	20.99975	0.328683	-0.011491555509
0.279754	-0.044173	20.99972	0.328657	-0.012357573442
0.299763	-0.044124	20.99973	0.328625	-0.013226742612
0.319789	-0.044139	20.99974	0.328622	-0.014115166671
0.339801	-0.044111	20.99975	0.328616	-0.014988961911
0.359817	-0.044062	20.99976	0.328608	-0.015854256654
0.379834	-0.044025	20.99976	0.32859	-0.01672219185
0.399847	-0.043985	20.99972	0.328562	-0.017587270295
0.419865	-0.043956	20.99974	0.328569	-0.01845558594
0.439874	-0.04393	20.99974	0.328548	-0.01932366482
0.459881	-0.04389	20.99974	0.328527	-0.02018417709
0.479914	-0.043843	20.99975	0.328531	-0.021040869502
0.499924	-0.043796	20.99976	0.328504	-0.021894671504
0.519961	-0.043763	20.99976	0.328517	-0.022755053243
0.539959	-0.043733	20.99974	0.3285	-0.023614026947
0.559958	-0.043696	20.99971	0.328492	-0.024467924768
0.579972	-0.04365	20.99971	0.328472	-0.0253157778
0.600004	-0.043604	20.99973	0.328475	-0.026162574416
0.620001	-0.043562	20.99974	0.328462	-0.027008483562
0.639936	-0.043521	20.99976	0.328459	-0.027850654656
0.659946	-0.043486	20.99972	0.328445	-0.028698411756
0.67997	-0.043439	20.99974	0.328438	-0.02953721683
0.699998	-0.043391	20.99972	0.328427	-0.030373613218
0.720008	-0.043344	20.99973	0.328416	-0.031208026752
0.740031	-0.043298	20.99973	0.328398	-0.032041862238
0.760042	-0.043252	20.99973	0.328399	-0.032873336584
0.780057	-0.043207	20.99973	0.328399	-0.033703922799
0.80006	-0.043158	20.99973	0.32838	-0.03452898948
0.820096	-0.043103	20.99973	0.328375	-0.035348597888
0.840118	-0.043053	20.99973	0.328369	-0.036169600254
0.860137	-0.043	20.99972	0.328356	-0.036985891
0.880136	-0.042949	20.99973	0.328348	-0.037800961064
0.900146	-0.042897	20.99972	0.328349	-0.038613562962
0.920175	-0.042841	20.99972	0.328341	-0.039421217175
0.940175	-0.042783	20.99972	0.328339	-0.040223507025
0.960206	-0.042726	20.99974	0.328315	-0.041025761556
0.980208	-0.042667	20.99974	0.328312	-0.041822534736
1.000205	-0.042631	20.99974	0.328313	-0.042639739355
1.020234	-0.042625	20.9997	0.328306	-0.04348747425
1.040256	-0.042589	20.99972	0.328307	-0.044303462784
1.060263	-0.042541	20.99973	0.32828	-0.045104648283
1.080284	-0.042516	20.99972	0.328276	-0.045929354544
1.100302	-0.042464	20.99973	0.328273	-0.046723224128
1.120299	-0.042409	20.99975	0.328257	-0.047510760291
1.14032	-0.042341	20.99974	0.328271	-0.04828228912
1.160327	-0.042263	20.99973	0.328254	-0.049038900001
1.180369	-0.042183	20.99975	0.32824	-0.049791505527
1.20038	-0.042104	20.99972	0.328248	-0.05054079952
1.220401	-0.042032	20.99973	0.32823	-0.051295894832
1.2404	-0.04196	20.99972	0.328213	-0.052047184
1.260416	-0.041887	20.99971	0.328203	-0.052795044992
1.280435	-0.041801	20.99973	0.328211	-0.053523463435
1.300439	-0.041711	20.99971	0.328191	-0.054242611129
1.320447	-0.041621	20.99972	0.328195	-0.054958324587
1.340461	-0.041538	20.99973	0.328191	-0.055680069018
1.360455	-0.041455	20.99971	0.328184	-0.056397662025
1.380459	-0.041366	20.99974	0.328177	-0.057104066994
1.400447	-0.041268	20.99973	0.328167	-0.057793646796
1.420427	-0.041167	20.99973	0.328172	-0.058474718309
1.440424	-0.041067	20.99973	0.328163	-0.059153892408
1.460411	-0.040974	20.99974	0.328144	-0.059838880314
1.480404	-0.040873	20.99972	0.328131	-0.060508552692
1.500382	-0.040767	20.99973	0.328129	-0.061166072994
1.520362	-0.040652	20.99971	0.32813	-0.061805756024
1.540378	-0.040544	20.99973	0.328135	-0.062453085632
1.560364	-0.040425	20.99975	0.328135	-0.0630777147
1.580367	-0.040313	20.99973	0.328114	-0.063709334871
1.600347	-0.040195	20.99972	0.328104	-0.064325947665
1.620336	-0.040073	20.99974	0.328099	-0.064931724528
1.640316	-0.039948	20.99972	0.328115	-0.065527343568
1.660321	-0.039821	20.99974	0.328105	-0.066115642541
1.680298	-0.039692	20.99972	0.328102	-0.066694388216
1.700269	-0.039564	20.99973	0.328093	-0.067269442716
1.720266	-0.039409	20.99973	0.328076	-0.067793962794
1.740259	-0.039278	20.99973	0.328075	-0.068353893002
1.760261	-0.039166	20.99974	0.32807	-0.068942382326
1.780243	-0.039029	20.99973	0.328066	-0.069481104047
1.800232	-0.038858	20.99973	0.32805	-0.069953415056
1.820215	-0.03869	20.99971	0.328047	-0.07042411835
1.840204	-0.03853	20.99971	0.328032	-0.07090306012
1.860178	-0.038377	20.99974	0.328039	-0.071388051106
1.87983	-0.03823	20.99973	0.328021	-0.0718659009
1.899834	-0.038068	20.99974	0.328026	-0.072322880712
1.919832	-0.037888	20.99971	0.328014	-0.072738594816
1.939816	-0.037701	20.99972	0.328012	-0.073133003016
1.959792	-0.03752	20.99972	0.328008	-0.07353139584
1.979788	-0.037333	20.99976	0.328008	-0.073911425404
1.99978	-0.037145	20.99973	0.328002	-0.0742818281
2.019768	-0.036961	20.99976	0.327994	-0.074652645048
2.039748	-0.036773	20.99975	0.327986	-0.075007653204
2.059659	-0.036572	20.99971	0.327973	-0.075325848948
2.079643	-0.036356	20.99974	0.327982	-0.075607500908
2.099646	-0.036139	20.99974	0.327973	-0.075879106794
2.119625	-0.035918	20.99974	0.327969	-0.07613269075
2.139616	-0.035708	20.99974	0.327961	-0.076401408128
2.159603	-0.035508	20.99971	0.327967	-0.076683183324
2.179584	-0.035277	20.99973	0.32796	-0.076889184768
2.19959	-0.035024	20.99972	0.327961	-0.07703844016
2.21956	-0.034777	20.99974	0.327951	-0.07718963812
2.239569	-0.034521	20.99972	0.32795	-0.077312161449
2.259558	-0.034282	20.99972	0.327948	-0.077462167356
2.279553	-0.034042	20.99972	0.327939	-0.077600543226
2.299534	-0.033783	20.99973	0.32793	-0.077685157122
2.319521	-0.033508	20.99973	0.327929	-0.077722509668
2.339515	-0.033234	20.9997	0.327912	-0.07775144151
2.359503	-0.032956	20.99974	0.327917	-0.077759780868
2.379487	-0.032674	20.99975	0.327913	-0.077747358238
2.399455	-0.032391	20.99973	0.327912	-0.077720746905
2.419446	-0.032101	20.99974	0.327894	-0.077666636046
2.439442	-0.031798	20.99975	0.327901	-0.077569376716
2.459436	-0.031488	20.99974	0.327908	-0.077442720768
2.47941	-0.031173	20.99974	0.327887	-0.07729064793
2.499411	-0.030854	20.99973	0.327886	-0.077116826994
2.519397	-0.03053	20.99973	0.327879	-0.07691719041
2.539391	-0.030202	20.99973	0.327874	-0.076694686982
2.559376	-0.029861	20.99975	0.327873	-0.076425526736
2.579349	-0.029514	20.99976	0.327856	-0.076126906386
2.599356	-0.029155	20.99974	0.327853	-0.07578422418
2.619351	-0.028794	20.99973	0.327843	-0.075421592694
2.639345	-0.028428	20.99972	0.327826	-0.07503129966
2.659332	-0.028053	20.99973	0.327825	-0.074602240596
2.679325	-0.027674	20.99971	0.327823	-0.07414764005
2.699293	-0.027301	20.99971	0.32781	-0.073693398193
2.719294	-0.026842	20.99973	0.327806	-0.072991289548
2.739255	-0.026439	20.99972	0.327816	-0.072423162945
2.759282	-0.026027	20.99971	0.327809	-0.071815832614
2.779306	-0.025553	20.99972	0.327811	-0.071019606218
2.79932	-0.025137	20.99973	0.327807	-0.07036650684
2.81935	-0.02474	20.99974	0.3278	-0.069750719
2.839366	-0.02429	20.99975	0.327812	-0.06896820014
2.859385	-0.023813	20.99971	0.327793	-0.068090535005
2.879398	-0.023343	20.99974	0.327793	-0.067213787514
2.899437	-0.022866	20.9997	0.327786	-0.066298526442
2.919445	-0.022379	20.99973	0.327792	-0.065334259655
2.939471	-0.021888	20.99972	0.327774	-0.064339141248
2.959494	-0.021383	20.99971	0.327763	-0.063282860202
2.979518	-0.02087	20.99971	0.327766	-0.06218254066
2.999531	-0.020341	20.99973	0.327759	-0.061013460071
3.019547	-0.0198	20.99973	0.327747	-0.0597870306
3.039569	-0.019255	20.9997	0.327736	-0.058526901095
3.059586	-0.018699	20.99975	0.327738	-0.057211198614
3.07961	-0.018133	20.99972	0.327723	-0.05584256813
3.099616	-0.017552	20.99974	0.327739	-0.054404460032
3.119637	-0.016961	20.99974	0.327729	-0.052912163157
3.139649	-0.016358	20.99972	0.327718	-0.051358378342
3.159668	-0.015742	20.99972	0.327714	-0.049739493656
3.179691	-0.015114	20.99973	0.327715	-0.048057849774
3.199695	-0.014478	20.99974	0.327722	-0.04632518421
3.219708	-0.013827	20.9997	0.327707	-0.044518902516
3.239725	-0.013173	20.99974	0.327707	-0.042676897425
3.259755	-0.012499	20.99974	0.327703	-0.040743677745
3.279768	-0.011809	20.99971	0.327684	-0.038730780312
3.299794	-0.011102	20.99972	0.327682	-0.036634312988
3.319818	-0.010384	20.99973	0.327687	-0.034472990112
3.33967	-0.009668	20.99971	0.327686	-0.03228792956
3.35969	-0.008931	20.99975	0.327683	-0.03000539139
3.379713	-0.008182	20.99974	0.32767	-0.027652811766
3.399753	-0.007418	20.99973	0.327658	-0.025219367754
3.419789	-0.006637	20.99973	0.327661	-0.022697139593
3.439815	-0.005846	20.99971	0.32765	-0.02010915849
3.459826	-0.005039	20.99972	0.327633	-0.017434063214
3.479782	-0.004219	20.99973	0.327638	-0.014681200258
3.499825	-0.003395	20.99971	0.327619	-0.011881905875
3.519866	-0.002555	20.99974	0.327635	-0.00899325763
3.539885	-0.001693	20.9997	0.327629	-0.005993025305
3.559772	-0.000789	20.99973	0.327629	-0.002808660108
3.579682	5.333755e-005	20.99971	0.327619	0.0001909314676591
3.600178	0.000984	20.99974	0.327607	0.003542575152
3.620025	0.001921	20.99973	0.3276	0.006954068025
3.640073	0.00285	20.99973	0.327605	0.01037420805
3.660128	0.003798	20.99973	0.327599	0.013901166144
3.680148	0.004761	20.99973	0.327587	0.017521184628
3.700199	0.005741	20.99972	0.327593	0.021242842459

