[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	logcurrent
1.28584	9.989355e-008	-16.119160717941
1.289005	1.059157e-007	-16.060622342259
1.291974	1.122165e-007	-16.002835795846
1.29494	1.189309e-007	-15.944723184759
1.297931	1.260773e-007	-15.886370626041
1.300853	1.335811e-007	-15.828557052917
1.303847	1.415892e-007	-15.770335929782
1.306771	1.500247e-007	-15.71246588974
1.309713	1.590207e-007	-15.654231454521
1.312618	1.685105e-007	-15.596267774555
1.315584	1.785482e-007	-15.538407244167
1.318565	1.89246e-007	-15.480218080916
1.321524	2.005378e-007	-15.422263079291
1.324443	2.12546e-007	-15.36410740142
1.327418	2.252638e-007	-15.305993677074
1.33035	2.387227e-007	-15.247963209673
1.333278	2.530452e-007	-15.18969770805
1.336149	2.68158e-007	-15.131689477914
1.339028	2.841887e-007	-15.073627382806
1.341897	3.011215e-007	-15.015751999159
1.344835	3.191147e-007	-14.95771523766
1.347727	3.382034e-007	-14.89961834731
1.350574	3.5843e-007	-14.841532453992
1.35348	3.798417e-007	-14.783511249966
1.356267	4.025623e-007	-14.725415969457
1.359227	4.266469e-007	-14.667309097899
1.3621	4.521141e-007	-14.609331255342
1.36498	4.791216e-007	-14.55131140954
1.367839	5.077979e-007	-14.493182303171
1.370648	5.381314e-007	-14.435163068688
1.373518	5.703066e-007	-14.377091725994
1.376379	6.043254e-007	-14.319153042359
1.379214	6.404593e-007	-14.261080261735
1.382047	6.788024e-007	-14.202935767941
1.384848	7.192981e-007	-14.144989961534
1.387677	7.622979e-007	-14.086928412777
1.390506	8.078802e-007	-14.028852056745
1.393293	8.560866e-007	-13.970894297698
1.396063	9.072496e-007	-13.912848231746
1.398832	9.61522e-007	-13.854748391264
1.401588	1.018923e-006	-13.796764370858
1.404341	1.079033e-006	-13.739445288282
1.40713	1.143649e-006	-13.681286530267
1.409906	1.212231e-006	-13.623048094418
1.412638	1.284317e-006	-13.565283498432
1.415393	1.361302e-006	-13.507068963245
1.418138	1.442868e-006	-13.448877758448
1.420852	1.528731e-006	-13.391072578477
1.423577	1.620219e-006	-13.332949232671
1.426283	1.716991e-006	-13.274937217763
1.428991	1.819453e-006	-13.2169746515
1.43169	1.928342e-006	-13.158849991615
1.434398	2.043453e-006	-13.100869533962
1.437094	2.166033e-006	-13.042613174044
1.439778	2.295727e-006	-12.984460989015
1.442453	2.432861e-006	-12.926442626909
1.445121	2.578515e-006	-12.868296906137
1.447779	2.73252e-006	-12.810286297618
1.450436	2.895964e-006	-12.752192514457
1.453079	3.068647e-006	-12.694273810122
1.455722	3.251635e-006	-12.6363526112
1.45835	3.446047e-006	-12.57828278095
1.460979	3.652307e-006	-12.520151535238
1.463607	3.870949e-006	-12.462010861346
1.466217	4.102157e-006	-12.403997625034
1.468826	4.347481e-006	-12.345913961055
1.471419	4.60669e-006	-12.288000963183
1.474012	4.882334e-006	-12.229887173749
1.476599	5.174109e-006	-12.17184340755
1.479179	5.483845e-006	-12.113704060704
1.481744	5.811037e-006	-12.055751517657
1.484304	6.157956e-006	-11.997765653664
1.486863	6.526277e-006	-11.939673915092
1.489413	6.916406e-006	-11.881614287413
1.491953	7.329485e-006	-11.823605303743
1.494489	7.767605e-006	-11.765548677908
1.497017	8.231756e-006	-11.707511200299
1.499534	8.723247e-006	-11.649519026968
1.502051	9.245204e-006	-11.591405627387
1.504555	9.797065e-006	-11.53342770694
1.507055	1.038253e-005	-11.475385971968
1.50954	1.099728e-005	-11.41786258847
1.512017	1.165148e-005	-11.360077347395
1.514518	1.235386e-005	-11.301541993117
1.516981	1.308913e-005	-11.2437284432
1.519459	1.387439e-005	-11.185465863262
1.521914	1.470235e-005	-11.127503213011
1.524357	1.557799e-005	-11.069651537398
1.52681	1.651135e-005	-11.01146253475
1.529241	1.749553e-005	-10.953565138234
1.53167	1.853954e-005	-10.895604809353
1.534099	1.964949e-005	-10.837459174184
1.536518	2.082535e-005	-10.77933956333
1.538931	2.207117e-005	-10.721238325961
1.541338	2.339246e-005	-10.663096809748
1.54373	2.478851e-005	-10.605130318605
1.546129	2.627556e-005	-10.546871328393
1.548508	2.784483e-005	-10.488863246167
1.550875	2.950387e-005	-10.430989116782
1.553242	3.126636e-005	-10.372967798771
1.5556	3.313472e-005	-10.314928882739
1.557953	3.511666e-005	-10.256834896226
1.560302	3.721776e-005	-10.198724491259
1.562642	3.944639e-005	-10.140568023098
1.564969	4.180111e-005	-10.082587663762
1.56729	4.429753e-005	-10.024581638675
1.569602	4.694093e-005	-9.966620555211
1.57191	4.974847e-005	-9.9085308486014
1.574213	5.272722e-005	-9.8503787272227
1.576502	5.587742e-005	-9.7923501950065
1.578785	5.921321e-005	-9.7343658990749
1.581059	6.275014e-005	-9.6763497488792
1.583329	6.650385e-005	-9.6182507172415
1.58559	7.047738e-005	-9.5602187506936
1.587838	7.468412e-005	-9.5022430720926
1.590086	7.915189e-005	-9.444141893211
1.592322	8.38804e-005	-9.3861185832247
1.594548	8.888864e-005	-9.3281262076365
1.596773	9.420852e-005	-9.2699999346121
1.598981	9.982767e-005	-9.2120651585658
1.601138	0.000106	-9.1520714638522
1.603334	0.000112	-9.0970116866692
1.605531	0.000119	-9.0363870648527
1.607712	0.000126	-8.9792286510128
1.609897	0.000133	-8.9251614297425
1.612055	0.000141	-8.8667506675861
1.614216	0.00015	-8.804875263868
1.616377	0.000159	-8.746606355744
1.61851	0.000168	-8.691546578561
1.620644	0.000178	-8.6337270076722
1.622777	0.000189	-8.5737635429046
1.624897	0.0002	-8.5171931914162
