[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	Voltage_2 (1)
-1.007043E-02	+2.853466E-08	-3.984104E+00
-9.871861E-03	+2.859642E-08	-3.983654E+00
-9.670352E-03	+2.864407E-08	-3.983202E+00
-9.471164E-03	+2.868571E-08	-3.982784E+00
-9.269455E-03	+2.874370E-08	-3.982285E+00
-9.070775E-03	+2.878559E-08	-3.981750E+00
-8.868555E-03	+2.885258E-08	-3.981157E+00
-8.669678E-03	+2.887970E-08	-3.980610E+00
-8.466947E-03	+2.893447E-08	-3.980116E+00
-8.269586E-03	+2.896927E-08	-3.979633E+00
-8.068172E-03	+2.902865E-08	-3.979136E+00
-7.868594E-03	+2.907379E-08	-3.978546E+00
-7.665761E-03	+2.914153E-08	-3.977858E+00
-7.469106E-03	+2.919871E-08	-3.977167E+00
-7.265776E-03	+2.922154E-08	-3.976536E+00
-7.063954E-03	+2.930549E-08	-3.975973E+00
-6.865689E-03	+2.931392E-08	-3.975426E+00
-6.663260E-03	+2.935531E-08	-3.974819E+00
-6.464585E-03	+2.940785E-08	-3.974077E+00
-6.262062E-03	+2.946594E-08	-3.973286E+00
-6.064195E-03	+2.954093E-08	-3.972496E+00
-5.862478E-03	+2.960918E-08	-3.971725E+00
-5.663296E-03	+2.964024E-08	-3.971069E+00
-5.461986E-03	+2.964688E-08	-3.970430E+00
-5.262906E-03	+2.967657E-08	-3.969675E+00
-5.061692E-03	+2.973903E-08	-3.968723E+00
-4.863325E-03	+2.977695E-08	-3.967751E+00
-4.661711E-03	+2.987420E-08	-3.966839E+00
-4.462528E-03	+2.991580E-08	-3.966091E+00
-4.259799E-03	+2.996475E-08	-3.965332E+00
-4.061428E-03	+2.998122E-08	-3.964462E+00
-3.859914E-03	+3.005119E-08	-3.963282E+00
-3.660734E-03	+3.009276E-08	-3.961990E+00
-3.458817E-03	+3.013427E-08	-3.960724E+00
-3.260647E-03	+3.019080E-08	-3.959745E+00
-3.058221E-03	+3.024725E-08	-3.958799E+00
-2.859546E-03	+3.030168E-08	-3.957762E+00
-2.657122E-03	+3.034557E-08	-3.956289E+00
-2.458649E-03	+3.039593E-08	-3.954536E+00
-2.256527E-03	+3.043439E-08	-3.952694E+00
-2.057041E-03	+3.049114E-08	-3.951187E+00
-1.855426E-03	+3.052382E-08	-3.949909E+00
-1.656042E-03	+3.059010E-08	-3.948614E+00
-1.456150E-03	+3.064943E-08	-3.946901E+00
-1.256766E-03	+3.067671E-08	-3.944351E+00
-1.053733E-03	+3.072925E-08	-3.941473E+00
-8.561726E-04	+3.077425E-08	-3.938715E+00
-6.534428E-04	+3.083185E-08	-3.936527E+00
-4.551739E-04	+3.087551E-08	-3.934326E+00
-2.536605E-04	+3.092033E-08	-3.931875E+00
-5.589793E-05	+3.097646E-08	-3.927975E+00
+1.368951E-04	+3.102951E-08	-3.922939E+00
+3.412432E-04	+3.105363E-08	-3.916677E+00
+5.374818E-04	+3.111872E-08	-3.910477E+00
+7.383838E-04	+3.116859E-08	-3.903460E+00
+9.367514E-04	+3.120969E-08	-3.893866E+00
+1.138566E-03	+3.125865E-08	-3.873983E+00
+1.336021E-03	+3.116059E-08	+5.601706E+00
+1.537632E-03	+3.127683E-08	+5.685017E+00
+1.735899E-03	+3.133608E-08	+5.709927E+00
+1.937205E-03	+3.139195E-08	+5.727249E+00
+2.136789E-03	+3.145439E-08	+5.742081E+00
+2.338502E-03	+3.150902E-08	+5.756090E+00
+2.536566E-03	+3.157129E-08	+5.768562E+00
+2.738683E-03	+3.162166E-08	+5.779228E+00
+2.937659E-03	+3.167502E-08	+5.787693E+00
+3.139981E-03	+3.173239E-08	+5.793814E+00
+3.338448E-03	+3.179116E-08	+5.796789E+00
+3.539960E-03	+3.185096E-08	+5.799562E+00
+3.738734E-03	+3.189866E-08	+5.801458E+00
+3.939933E-03	+3.195536E-08	+5.802153E+00
+4.139217E-03	+3.200743E-08	+5.800272E+00
+4.341844E-03	+3.205959E-08	+5.799864E+00
+4.541528E-03	+3.210940E-08	+5.802713E+00
+4.741720E-03	+3.215601E-08	+5.800135E+00
+4.940493E-03	+3.220010E-08	+5.801235E+00
+5.143016E-03	+3.226668E-08	+5.802891E+00
+5.341892E-03	+3.229557E-08	+5.802902E+00
+5.543907E-03	+3.235013E-08	+5.805367E+00
+5.741664E-03	+3.240571E-08	+5.805124E+00
+5.944291E-03	+3.244900E-08	+5.806578E+00
+6.142660E-03	+3.249349E-08	+5.806913E+00
+6.344169E-03	+3.254274E-08	+5.806833E+00
+6.543144E-03	+3.259104E-08	+5.805841E+00
+6.744249E-03	+3.264166E-08	+5.804316E+00
+6.942715E-03	+3.268224E-08	+5.805599E+00
+7.144735E-03	+3.273232E-08	+5.804491E+00
+7.343507E-03	+3.278273E-08	+5.808762E+00
+7.545726E-03	+3.283224E-08	+5.807735E+00
+7.748352E-03	+3.288023E-08	+5.806852E+00
+7.946616E-03	+3.292583E-08	+5.806820E+00
+8.148938E-03	+3.297235E-08	+5.806862E+00
+8.347205E-03	+3.303174E-08	+5.807089E+00
+8.549523E-03	+3.307850E-08	+5.808977E+00
+8.747691E-03	+3.311698E-08	+5.808380E+00
+8.949605E-03	+3.316415E-08	+5.808155E+00
+9.148477E-03	+3.320402E-08	+5.807722E+00
+9.350087E-03	+3.325859E-08	+5.808172E+00
+9.549672E-03	+3.331601E-08	+5.808414E+00
+9.751290E-03	+3.335226E-08	+5.808691E+00
+9.950464E-03	+3.340383E-08	+5.808672E+00

