[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	logcurrent
1.353585	9.989424e-008	-16.119153810612
1.356525	1.059162e-007	-16.060617621534
1.359386	1.122174e-007	-16.002827775668
1.362275	1.189317e-007	-15.944716458187
1.365147	1.260781e-007	-15.886364280747
1.367977	1.335819e-007	-15.828551064064
1.370843	1.4159e-007	-15.77033027965
1.373688	1.500252e-007	-15.712462556961
1.376542	1.590217e-007	-15.654225166051
1.37939	1.685114e-007	-15.596262433656
1.382228	1.785493e-007	-15.538401083384
1.385074	1.892471e-007	-15.480212268392
1.387903	2.005385e-007	-15.422259588683
1.390731	2.12547e-007	-15.364102696567
1.393563	2.252648e-007	-15.305989237844
1.396381	2.387234e-007	-15.247960277405
1.399217	2.53046e-007	-15.189694546564
1.402023	2.681589e-007	-15.13168612169
1.404831	2.841891e-007	-15.073625975291
1.407622	3.011224e-007	-15.015749010337
1.410414	3.191152e-007	-14.957713670826
1.413207	3.382042e-007	-14.899615981872
1.41599	3.584305e-007	-14.84153105902
1.418765	3.798423e-007	-14.783509670362
1.42154	4.025627e-007	-14.725414975822
1.424309	4.266477e-007	-14.667307222814
1.427065	4.521148e-007	-14.609329707061
1.429815	4.791216e-007	-14.55131140954
1.432564	5.077982e-007	-14.493181712385
1.435302	5.381328e-007	-14.435160467096
1.438032	5.703072e-007	-14.377090673929
1.440754	6.043263e-007	-14.319151553096
1.443474	6.404599e-007	-14.261079324908
1.446201	6.788031e-007	-14.202934736714
1.448905	7.192983e-007	-14.144989683485
1.451581	7.622982e-007	-14.08692801923
1.454289	8.078807e-007	-14.028851437841
1.456966	8.560863e-007	-13.970894648129
1.459665	9.072496e-007	-13.912848231746
1.462333	9.615227e-007	-13.854747663252
1.46498	1.018922e-006	-13.796765352286
1.467571	1.079037e-006	-13.739441581266
1.470228	1.14365e-006	-13.681285655873
1.472877	1.212235e-006	-13.623044794723
1.475499	1.284323e-006	-13.565278826699
1.478135	1.361308e-006	-13.50706455571
1.480761	1.442872e-006	-13.448874986196
1.48337	1.528739e-006	-13.391067345392
1.485984	1.620226e-006	-13.332944912277
1.488593	1.716994e-006	-13.274935470522
1.491189	1.819461e-006	-13.216970254584
1.493789	1.928349e-006	-13.15884636156
1.496376	2.043458e-006	-13.100867087126
1.498969	2.166036e-006	-13.042611789025
1.501557	2.295737e-006	-12.984456633106
1.504134	2.432874e-006	-12.92643728342
1.506709	2.578523e-006	-12.868293803581
1.509281	2.73253e-006	-12.810282637999
1.51185	2.895971e-006	-12.752190097303
1.514405	3.068656e-006	-12.694270877237
1.51696	3.251642e-006	-12.636350458439
1.519517	3.446057e-006	-12.578279879078
1.522074	3.652313e-006	-12.520149892442
1.524629	3.870957e-006	-12.462008794671
1.527176	4.102166e-006	-12.403995431069
1.529726	4.347489e-006	-12.345912120911
1.532261	4.606694e-006	-12.288000094881
1.534806	4.882343e-006	-12.229885330371
1.537347	5.174114e-006	-12.1718424412
1.539889	5.483856e-006	-12.113702054815
1.542421	5.811044e-006	-12.055750313053
1.544953	6.157961e-006	-11.997764841707
1.547488	6.526285e-006	-11.939672689279
1.55002	6.916416e-006	-11.881612841576
1.552549	7.329485e-006	-11.823605303743
1.555079	7.767616e-006	-11.765547261771
1.557608	8.231765e-006	-11.707510106973
1.56013	8.723256e-006	-11.649517995242
1.562659	9.245212e-006	-11.591404762074
1.565181	9.797072e-006	-11.53342699244
1.567702	1.038254e-005	-11.475385008812
1.570215	1.099742e-005	-11.417849858131
1.572724	1.165159e-005	-11.360067906579
1.575264	1.235396e-005	-11.301533898514
1.577772	1.308923e-005	-11.243720803302
1.580293	1.387448e-005	-11.185459376512
1.582803	1.470244e-005	-11.127497091559
1.585304	1.557809e-005	-11.069645118105
1.587816	1.651144e-005	-11.011457083969
1.590313	1.74956e-005	-10.95356113722
1.592811	1.853961e-005	-10.895601033647
1.595312	1.964952e-005	-10.837457647428
1.597811	2.082542e-005	-10.779336202048
1.600302	2.207126e-005	-10.721234248251
1.602793	2.339256e-005	-10.663092534875
1.605269	2.478861e-005	-10.605126284486
1.607754	2.627561e-005	-10.546869425486
1.610223	2.784492e-005	-10.488860013974
1.612682	2.950398e-005	-10.430985388465
1.61514	3.12665e-005	-10.372963321125
1.617594	3.313484e-005	-10.314925261167
1.620045	3.511678e-005	-10.25683147905
1.622487	3.721786e-005	-10.198721804373
1.624927	3.944655e-005	-10.140563966968
1.627352	4.180124e-005	-10.082584553802
1.629771	4.429765e-005	-10.024578929724
1.632181	4.694107e-005	-9.9666175727437
1.634589	4.97486e-005	-9.9085282354591
1.636991	5.272737e-005	-9.8503758823963
1.639382	5.587756e-005	-9.7923476895253
1.64176	5.921331e-005	-9.734364210264
1.644136	6.275023e-005	-9.6763483146205
1.646505	6.650401e-005	-9.6182483113686
1.648863	7.047751e-005	-9.5602169061318
1.65121	7.46842e-005	-9.502242000915
1.653555	7.915201e-005	-9.4441403771397
1.655889	8.388052e-005	-9.3861171526174
1.658212	8.888872e-005	-9.3281253076344
1.660535	9.420863e-005	-9.2699987669901
1.662841	9.982771e-005	-9.2120647578753
1.665092	0.000106	-9.1520714638522
1.667384	0.000112	-9.0970116866692
1.669679	0.000119	-9.0363870648527
1.67196	0.000126	-8.9792286510128
1.674243	0.000133	-8.9251614297425
1.6765	0.000141	-8.8667506675861
1.67876	0.00015	-8.804875263868
1.681021	0.000159	-8.746606355744
1.683254	0.000168	-8.691546578561
1.68549	0.000178	-8.6337270076722
1.687727	0.000189	-8.5737635429046
1.689949	0.0002	-8.5171931914162
1.692167	0.000212	-8.4589242832923
1.694383	0.000225	-8.3994101557599
1.696593	0.000238	-8.3432398842928
1.698788	0.000253	-8.2821210692368
1.700986	0.000268	-8.2245235774534
1.703172	0.000284	-8.1665363198031
1.705352	0.000301	-8.1084002932154
1.707537	0.000319	-8.0503194551794
1.709714	0.000338	-7.9924646624813
1.711881	0.000358	-7.9349775715636
1.714053	0.000379	-7.8779743528818
1.716218	0.000402	-7.8190584693453
1.718381	0.000426	-7.7610712116949
1.720536	0.000451	-7.7040432184616
1.722688	0.000478	-7.6458998254728
1.724845	0.000507	-7.5869995543731
1.726997	0.000537	-7.5295124634554
1.729143	0.000569	-7.4716301238379
1.731287	0.000603	-7.4135933612371
1.733437	0.000639	-7.3556061035867
1.735583	0.000678	-7.2963632700239
1.737725	0.000718	-7.239040988916
1.739868	0.000761	-7.1808772001026
1.74201	0.000807	-7.1221868896943
1.744154	0.000855	-7.0644090890275
1.746301	0.000906	-7.0064712519213
1.748443	0.00096	-6.9485772735024
1.750587	0.001017	-6.8908981619157
1.752676	0.001077	-6.8335758808079
1.754837	0.001142	-6.7749741677483
1.756996	0.00121	-6.7171349193735
1.759145	0.001282	-6.6593339204837
1.761308	0.001359	-6.6010061438131
1.763457	0.00144	-6.5431121653942
1.765618	0.001526	-6.4851053461199
1.767787	0.001618	-6.4265644603458
1.769954	0.001714	-6.3689254588065
1.772125	0.001816	-6.311118998803
1.774302	0.001925	-6.2528293112424
1.776493	0.00204	-6.194805471126
1.778688	0.002163	-6.1362591320112
1.780878	0.002292	-6.0783304801296
1.783082	0.002429	-6.0202756289621
1.785291	0.002574	-5.9622941698082
1.787511	0.002728	-5.9041865390009
1.789732	0.002891	-5.8461528159479
1.791962	0.003064	-5.7880340271038
1.794199	0.003247	-5.7300237858614
1.796448	0.003441	-5.6719931521668
1.79871	0.003646	-5.6141246027257
1.800981	0.003864	-5.5560523626319
