[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	logcurrent
2.08404	9.97976e-008	-16.120121702014
2.110279	1.059176e-007	-16.060604403625
2.114229	1.122188e-007	-16.002815299962
2.117416	1.18933e-007	-15.944705527603
2.121	1.260794e-007	-15.886353969731
2.124489	1.335835e-007	-15.828539086465
2.127977	1.415913e-007	-15.770321098252
2.131599	1.500266e-007	-15.712453225239
2.135067	1.59023e-007	-15.6542169911
2.1383	1.685124e-007	-15.596256499357
2.14167	1.785501e-007	-15.538396602839
2.14506	1.892473e-007	-15.480211211573
2.148407	2.005389e-007	-15.422257594056
2.151762	2.125474e-007	-15.364100814632
2.155109	2.252655e-007	-15.305986130395
2.158533	2.387244e-007	-15.247956088465
2.161699	2.530476e-007	-15.189688223623
2.164948	2.681603e-007	-15.131680900918
2.168308	2.841905e-007	-15.073621049006
2.171522	3.011228e-007	-15.015747681974
2.174725	3.191161e-007	-14.957710850532
2.17782	3.382053e-007	-14.899612729404
2.181068	3.584317e-007	-14.841527711096
2.184223	3.798437e-007	-14.783505984629
2.187361	4.025645e-007	-14.725410504479
2.190462	4.266491e-007	-14.667303941423
2.193502	4.521157e-007	-14.609327716418
2.196573	4.791225e-007	-14.551309531104
2.19965	5.077997e-007	-14.49317875846
2.202719	5.38134e-007	-14.435158237166
2.205761	5.703083e-007	-14.377088745146
2.208725	6.043266e-007	-14.319151056676
2.211718	6.404609e-007	-14.261077763531
2.214708	6.788048e-007	-14.202932232309
2.217663	7.192997e-007	-14.144987737145
2.220596	7.622992e-007	-14.086926707408
2.223511	8.078818e-007	-14.028850076255
2.226398	8.560875e-007	-13.970893246403
2.229309	9.072503e-007	-13.912847460184
2.232159	9.615237e-007	-13.854746623235
2.234997	1.018923e-006	-13.796764370858
2.237761	1.075025e-006	-13.743166640841
2.240597	1.143662e-006	-13.681275163207
2.243416	1.212244e-006	-13.623037370447
2.246161	1.284333e-006	-13.565271040526
2.248934	1.361318e-006	-13.507057209861
2.251671	1.442888e-006	-13.448863897262
2.254383	1.528744e-006	-13.391064074728
2.257092	1.620238e-006	-13.33293750593
2.259769	1.717002e-006	-13.274930811227
2.262438	1.819458e-006	-13.216971903425
2.265089	1.928354e-006	-13.158843768672
2.267717	2.043463e-006	-13.100864640296
2.27034	2.16604e-006	-13.042609942335
2.272942	2.29574e-006	-12.984455326337
2.275522	2.432878e-006	-12.926435639275
2.278095	2.578533e-006	-12.868289925399
2.280643	2.732542e-006	-12.810278246474
2.283173	2.895982e-006	-12.75218629893
2.285686	3.068662e-006	-12.694268921986
2.288179	3.251647e-006	-12.636348920756
2.290667	3.446061e-006	-12.578278718332
2.293148	3.652324e-006	-12.520146880656
2.295597	3.870969e-006	-12.462005694667
2.298042	4.102174e-006	-12.403993480881
2.300474	4.347499e-006	-12.345909820735
2.302881	4.606702e-006	-12.287998358279
2.305279	4.882349e-006	-12.229884101453
2.307661	5.174127e-006	-12.171839928696
2.310041	5.483865e-006	-12.113700413635
2.312393	5.811051e-006	-12.055749108451
2.314751	6.157964e-006	-11.997764354533
2.317078	6.526292e-006	-11.939671616694
2.319405	6.916426e-006	-11.881611395742
2.321712	7.32949e-006	-11.823604621567
2.324011	7.767624e-006	-11.765546231854
2.3263	8.231779e-006	-11.707508406246
2.328573	8.723267e-006	-11.649516734246
2.330839	9.245223e-006	-11.59140357227
2.333099	9.797085e-006	-11.533425665514
2.335335	1.038254e-005	-11.475385008812
2.337593	1.099741e-005	-11.417850767435
2.339809	1.165171e-005	-11.360057607608
2.342051	1.235407e-005	-11.301524994526
2.344255	1.308934e-005	-11.243712399482
2.34646	1.387465e-005	-11.185447123875
2.348654	1.470256e-005	-11.127488929682
2.350819	1.55782e-005	-11.06963805693
2.353008	1.651153e-005	-11.011451633218
2.355169	1.749569e-005	-10.953555993082
2.357338	1.853966e-005	-10.895598336722
2.359491	1.96496e-005	-10.83745357609
2.361631	2.082547e-005	-10.779333801138
2.36377	2.207133e-005	-10.721231076711
2.365898	2.339261e-005	-10.663090397446
2.368032	2.478873e-005	-10.605121443564
2.370155	2.627576e-005	-10.546863716786
2.372259	2.784502e-005	-10.488856422661
2.374359	2.950403e-005	-10.430983693779
2.376455	3.126654e-005	-10.372962041801
2.378561	3.313487e-005	-10.314924355776
