[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	Voltage_2 (1)	Current_2 (1)	cellpower
-0.000408	-2.8907e-006	20.99975	0.329531	1.1794056e-009
0.019589	-0.001888	20.99973	0.329036	-3.6984032e-005
0.039626	-0.001849	20.99972	0.328888	-7.3268474e-005
0.059643	-0.001835	20.99972	0.32879	-0.000109444905
0.079666	-0.001838	20.99971	0.328726	-0.000146426108
0.099674	-0.001837	20.99972	0.328675	-0.000183101138
0.119705	-0.001802	20.99971	0.328628	-0.00021570841
0.139714	-0.001795	20.99971	0.32858	-0.00025078663
0.159741	-0.00177	20.99971	0.328541	-0.00028274157
0.179741	-0.001757	20.99971	0.328519	-0.000315804937
0.199741	-0.001755	20.9997	0.32849	-0.000350545455
0.219762	-0.00173	20.99972	0.328459	-0.00038018826
0.239776	-0.001726	20.99969	0.328442	-0.000413853376
0.259803	-0.001709	20.99972	0.328429	-0.000444003327
0.279801	-0.001716	20.99971	0.328398	-0.000480138516
0.299813	-0.001718	20.99971	0.328369	-0.000515078734
0.319836	-0.001708	20.99973	0.328348	-0.000546279888
0.339866	-0.001673	20.99973	0.32834	-0.000568595818
0.359874	-0.001663	20.99971	0.328325	-0.000598470462
0.379879	-0.001655	20.99972	0.328322	-0.000628699745
0.399889	-0.001642	20.99972	0.328284	-0.000656617738
0.419906	-0.00163	20.9997	0.328267	-0.00068444678
0.439928	-0.001623	20.9997	0.328255	-0.000714003144
0.459928	-0.001614	20.9997	0.328259	-0.000742323792
0.479971	-0.001605	20.99974	0.328243	-0.000770353455
0.499986	-0.001627	20.99971	0.328232	-0.000813477222
0.520008	-0.001617	20.99971	0.328229	-0.000840852936
0.54002	-0.001608	20.99971	0.32822	-0.00086835216
0.560019	-0.001592	20.99972	0.328211	-0.000891550248
0.580038	-0.001585	20.99972	0.328212	-0.00091936023
0.600053	-0.001575	20.99971	0.328192	-0.000945083475
0.62007	-0.001564	20.99972	0.328177	-0.00096978948
0.639994	-0.001554	20.99972	0.328171	-0.000994550676
0.660023	-0.001545	20.99973	0.328165	-0.001019735535
0.680034	-0.001535	20.9997	0.328158	-0.00104385219
0.700057	-0.001522	20.99973	0.328153	-0.001065486754
0.72007	-0.001509	20.99972	0.328141	-0.00108658563
0.740091	-0.001501	20.99969	0.328125	-0.001110876591
0.760106	-0.001489	20.99972	0.32812	-0.001131797834
0.780135	-0.001481	20.99972	0.328117	-0.001155379935
0.800133	-0.00147	20.99972	0.328116	-0.00117619551
0.820162	-0.001461	20.99973	0.328096	-0.001198256682
0.840174	-0.001449	20.9997	0.328071	-0.001217412126
0.860186	-0.001441	20.99972	0.328073	-0.001239528026
0.880208	-0.001433	20.99972	0.328064	-0.001261338064
0.900209	-0.001424	20.99971	0.328059	-0.001281897616
0.920233	-0.001414	20.99972	0.32805	-0.001301209462
0.940242	-0.001405	20.99971	0.328053	-0.00132104001
0.960269	-0.001396	20.99972	0.328046	-0.001340535524
0.98027	-0.001387	20.99971	0.32804	-0.00135963449
1.000271	-0.001376	20.9997	0.328027	-0.001376372896
1.020296	-0.001369	20.99969	0.328008	-0.001396785224
1.040313	-0.001362	20.99973	0.328017	-0.001416906306
1.060328	-0.00135	20.99973	0.328014	-0.0014314428
1.08033	-0.001343	20.99972	0.328005	-0.00145088319
1.100359	-0.001334	20.99972	0.327996	-0.001467878906
1.120369	-0.001325	20.99971	0.327989	-0.001484488925
1.140395	-0.001317	20.9997	0.327986	-0.001501900215
1.160402	-0.001307	20.99971	0.327981	-0.001516645414
1.180427	-0.001299	20.99971	0.327971	-0.001533374673
1.20042	-0.001291	20.9997	0.327958	-0.00154974222
1.220461	-0.001283	20.9997	0.327951	-0.001565851463
1.240476	-0.001275	20.9997	0.327965	-0.0015816069
1.260475	-0.001269	20.9997	0.327947	-0.001599542775
1.280485	-0.001261	20.99971	0.327945	-0.001614691585
1.300512	-0.001254	20.99971	0.32794	-0.001630842048
1.320514	-0.001247	20.99972	0.327921	-0.001646680958
1.340521	-0.001238	20.99972	0.32793	-0.001659564998
1.360512	-0.00123	20.99972	0.327921	-0.00167342976
1.380502	-0.001224	20.99971	0.327916	-0.001689734448
1.400512	-0.001217	20.99971	0.327905	-0.001704423104
1.420488	-0.001208	20.9997	0.327897	-0.001715949504
1.440479	-0.001201	20.99969	0.327898	-0.001730015279
1.460459	-0.001196	20.99971	0.327886	-0.001746708964
1.480468	-0.001188	20.99971	0.327877	-0.001758795984
1.500443	-0.001181	20.99969	0.327885	-0.001772023183
1.520422	-0.001173	20.99971	0.327874	-0.001783455006
1.540446	-0.001167	20.99972	0.327867	-0.001797700482
1.560422	-0.001158	20.99971	0.327861	-0.001806968676
1.58042	-0.00115	20.99972	0.327868	-0.001817483
1.600404	-0.001143	20.9997	0.32785	-0.001829261772
1.620392	-0.001137	20.99971	0.327851	-0.001842385704
1.640382	-0.001132	20.99974	0.32784	-0.001856912424
1.660372	-0.001126	20.9997	0.327824	-0.001869578872
1.680358	-0.001119	20.9997	0.327839	-0.001880320602
1.700327	-0.001113	20.9997	0.327829	-0.001892463951
1.720323	-0.001107	20.99969	0.327824	-0.001904397561
1.740313	-0.001101	20.9997	0.32782	-0.001916084613
1.760311	-0.001094	20.9997	0.327805	-0.001925780234
1.780306	-0.001089	20.99971	0.327802	-0.001938753234
1.80028	-0.001085	20.99971	0.327791	-0.0019533038
1.820273	-0.001079	20.9997	0.327791	-0.001964074567
1.840263	-0.001072	20.99971	0.32778	-0.001972761936
1.860243	-0.001067	20.99973	0.327771	-0.001984879281
1.8799	-0.00106	20.99969	0.32776	-0.001992694
1.899902	-0.001056	20.99972	0.327764	-0.002006296512
1.919896	-0.001052	20.9997	0.327746	-0.002019730592
1.939882	-0.001045	20.99969	0.32776	-0.00202717669
1.959854	-0.00104	20.99971	0.327739	-0.00203824816
1.979854	-0.001035	20.9997	0.327735	-0.00204914889
1.999838	-0.001028	20.99969	0.327735	-0.002055833464
2.019821	-0.001023	20.99971	0.327711	-0.002066276883
2.039809	-0.001018	20.9997	0.327713	-0.002076525562
2.059711	-0.001013	20.9997	0.327716	-0.002086487243
2.079688	-0.001008	20.99973	0.327705	-0.002096325504
2.099701	-0.001002	20.9997	0.327695	-0.002103900402
2.119514	-0.000998	20.99971	0.327702	-0.002115274972
2.139495	-0.000991	20.99972	0.327693	-0.002120239545
2.159474	-0.000986	20.99969	0.32768	-0.002129241364
2.179464	-0.000983	20.99972	0.327688	-0.002142413112
2.199461	-0.00098	20.99972	0.327677	-0.00215547178
2.219434	-0.000975	20.99969	0.32766	-0.00216394815
2.239454	-0.00097	20.99972	0.327665	-0.00217227038
2.259428	-0.000964	20.99972	0.327668	-0.002178088592
2.279432	-0.000961	20.99971	0.327671	-0.002190534152
2.299416	-0.000956	20.99973	0.327654	-0.002198241696
2.319413	-0.000952	20.99971	0.327645	-0.002208081176
2.339396	-0.000947	20.9997	0.327646	-0.002215408012
2.359392	-0.000942	20.99972	0.32764	-0.002222547264
2.379372	-0.000939	20.99972	0.327638	-0.002234230308
2.399356	-0.000935	20.99973	0.327642	-0.00224339786
2.419339	-0.000929	20.99972	0.327636	-0.002247565931
2.439331	-0.000924	20.99969	0.327619	-0.002253941844
2.45934	-0.00092	20.9997	0.327606	-0.0022625928
2.47932	-0.000916	20.9997	0.32762	-0.00227105712
2.499315	-0.000912	20.9997	0.327623	-0.00227937528
2.519296	-0.000908	20.99971	0.327602	-0.002287520768
2.539289	-0.000904	20.9997	0.327592	-0.002295517256
2.559266	-0.0009	20.99972	0.32759	-0.0023033394
2.579241	-0.000896	20.99973	0.327593	-0.002310999936
2.599241	-0.000892	20.99971	0.327592	-0.002318522972
2.619224	-0.000887	20.9997	0.327586	-0.002323251688
2.63923	-0.000884	20.99973	0.327579	-0.00233307932
2.659218	-0.000879	20.99973	0.327589	-0.002337452622
2.679204	-0.000875	20.99971	0.327569	-0.0023443035
2.699185	-0.000871	20.99972	0.327569	-0.002350990135
2.719178	-0.000867	20.99974	0.32757	-0.002357527326
2.739165	-0.000863	20.99972	0.327572	-0.002363899395
2.759173	-0.000858	20.99972	0.327559	-0.002367370434
2.779197	-0.000854	20.99969	0.327572	-0.002373434238
2.799206	-0.000849	20.9997	0.327569	-0.002376525894
2.819237	-0.000845	20.99968	0.327548	-0.002382255265
2.83924	-0.00084	20.99971	0.327553	-0.0023849616
2.859271	-0.000836	20.99969	0.327551	-0.002390350556
2.879284	-0.000831	20.99971	0.327529	-0.002392685004
2.899312	-0.000826	20.9997	0.32752	-0.002394831712
2.919314	-0.00082	20.99972	0.327524	-0.00239383748
2.939371	-0.000815	20.99969	0.327513	-0.002395587365
2.959383	-0.000809	20.99972	0.327514	-0.002394140847
2.979407	-0.000803	20.99973	0.327514	-0.002392463821
2.999411	-0.000797	20.99969	0.327506	-0.002390530567
3.01942	-0.00079	20.99972	0.327514	-0.0023853418
3.039448	-0.000783	20.99973	0.327524	-0.002379887784
3.059457	-0.000776	20.99971	0.327499	-0.002374138632
3.079498	-0.000767	20.9997	0.327481	-0.002361974966
3.099512	-0.000759	20.99973	0.327476	-0.002352529608
3.119517	-0.00075	20.99971	0.327491	-0.00233963775
3.139531	-0.00074	20.9997	0.327489	-0.00232325294
3.159551	-0.000729	20.99972	0.327477	-0.002303312679
3.17957	-0.000717	20.99972	0.327467	-0.00227975169
3.19958	-0.000703	20.99972	0.327464	-0.00224930474
3.219599	-0.000686	20.99969	0.327451	-0.002208644914
3.239607	-0.000668	20.99969	0.32745	-0.002164057476
3.259649	-0.000646	20.9997	0.327449	-0.002105733254
3.279655	-0.000619	20.99969	0.327427	-0.002030106445
3.299697	-0.000586	20.99971	0.327429	-0.001933622442
3.319725	-0.000546	20.99969	0.327422	-0.00181256985
3.339748	-0.000495	20.9997	0.327435	-0.00165317526
3.359778	-0.00043	20.99968	0.327429	-0.00144470454
3.379794	-0.000347	20.9997	0.327431	-0.001172788518
3.39984	-0.00024	20.99969	0.327424	-0.0008159616
3.419877	-0.000102	20.99972	0.327414	-0.000348827454
3.440065	7.244675e-005	20.9997	0.327409	0.00024922152903875
3.459973	0.000296	20.99971	0.327386	0.001024152008
3.479976	0.000566	20.99973	0.327401	0.001969666416
3.500047	0.000893	20.99972	0.327386	0.003125541971
3.519927	0.001278	20.99969	0.327366	0.004498466706
3.539959	0.001721	20.9997	0.327371	0.006092269439
3.559973	0.002222	20.99971	0.327364	0.007910260006
3.579999	0.002779	20.99972	0.327374	0.009948817221
3.600045	0.003389	20.99973	0.327348	0.012200552505
3.62007	0.004046	20.99971	0.32735	0.01464680322
3.64009	0.004749	20.99971	0.327345	0.01728678741
3.660142	0.005494	20.99969	0.327335	0.020108820148
3.680165	0.006276	20.9997	0.327337	0.02309671554
3.700221	0.007096	20.99971	0.327323	0.026256768216

