[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	Voltage_2 (1)
-1.007278E-02	+3.630332E-12	-4.500954E+00
-9.874217E-03	+8.342924E-12	-4.500521E+00
-9.671288E-03	+5.099893E-12	-4.500090E+00
-9.473426E-03	+9.660397E-12	-4.499668E+00
-9.271511E-03	+4.694495E-12	-4.499220E+00
-9.072538E-03	+4.285083E-11	-4.498709E+00
-8.871836E-03	+1.533564E-11	-4.498182E+00
-8.672559E-03	+2.008879E-12	-4.497658E+00
-8.470845E-03	+1.036979E-11	-4.497166E+00
-8.272379E-03	+2.059575E-12	-4.496714E+00
-8.071063E-03	+9.254875E-12	-4.496258E+00
-7.871890E-03	-3.970504E-12	-4.495758E+00
-7.669472E-03	+5.197184E-11	-4.495184E+00
-7.470698E-03	-3.514425E-12	-4.494558E+00
-7.268173E-03	+1.163658E-11	-4.493967E+00
-7.065144E-03	+3.934408E-12	-4.493444E+00
-6.866883E-03	+4.035869E-12	-4.492937E+00
-6.665877E-03	+1.147457E-12	-4.492405E+00
-6.466702E-03	+5.860062E-12	-4.491787E+00
-6.264477E-03	+4.947820E-12	-4.491104E+00
-6.065704E-03	+1.350087E-12	-4.490379E+00
-5.864399E-03	+6.822737E-12	-4.489754E+00
-5.666135E-03	-1.193351E-13	-4.489178E+00
-5.464219E-03	-2.703629E-12	-4.488592E+00
-5.265444E-03	+4.643785E-12	-4.487965E+00
-5.063630E-03	+4.998460E-12	-4.487185E+00
-4.865566E-03	+1.447417E-11	-4.486355E+00
-4.662844E-03	+1.852810E-11	-4.485544E+00
-4.463360E-03	-1.425697E-11	-4.484879E+00
-4.262357E-03	+3.427675E-12	-4.484228E+00
-4.063179E-03	-1.082162E-12	-4.483555E+00
-3.861366E-03	-1.183498E-12	-4.482693E+00
-3.662492E-03	+3.579706E-12	-4.481718E+00
-3.461083E-03	-5.896061E-12	-4.480652E+00
-3.262310E-03	-1.608121E-11	-4.479792E+00
-3.060496E-03	+3.013192E-11	-4.479025E+00
-2.860914E-03	+8.849602E-12	-4.478245E+00
-2.659505E-03	+4.947820E-12	-4.477360E+00
-2.460125E-03	+1.502118E-12	-4.476145E+00
-2.258716E-03	-6.504144E-12	-4.474813E+00
-2.058930E-03	-5.490691E-12	-4.473482E+00
-1.856914E-03	+3.114543E-11	-4.472521E+00
-1.658243E-03	+1.062313E-11	-4.471617E+00
-1.457341E-03	+4.542408E-12	-4.470657E+00
-1.258467E-03	+4.694467E-12	-4.469280E+00
-1.056552E-03	+9.913695E-12	-4.467398E+00
-8.579825E-04	-4.933248E-12	-4.465347E+00
-6.559660E-04	+5.505221E-12	-4.463699E+00
-4.571935E-04	+1.057249E-11	-4.462631E+00
-2.548730E-04	-9.645812E-12	-4.461464E+00
-5.711396E-05	+1.741318E-11	-4.460085E+00
+1.370946E-04	+1.498104E-11	-4.457504E+00
+3.417431E-04	+8.646986E-12	-4.453375E+00
+5.375731E-04	+3.630388E-12	-4.449448E+00
+7.388765E-04	+6.670720E-12	-4.447985E+00
+9.363285E-04	+4.947889E-12	-4.446354E+00
+1.137531E-03	+7.228176E-12	-4.445038E+00
+1.335590E-03	+5.251868E-12	-4.440727E+00
+1.536894E-03	+4.947889E-12	-4.429735E+00
+1.735360E-03	+5.758630E-12	-4.412603E+00
+1.936461E-03	+7.633547E-12	-4.403587E+00
+2.135535E-03	+3.377076E-12	-4.400984E+00
+2.336533E-03	+4.886924E-13	-4.399105E+00
+2.536418E-03	-2.713524E-13	-4.387390E+00
+2.737215E-03	+3.630402E-12	-4.340578E+00
+2.936794E-03	+5.606557E-12	-4.257318E+00
+3.140430E-03	-9.291040E-12	+5.414833E+00
+3.338085E-03	-2.206985E-13	+5.601845E+00
+3.539894E-03	-9.392404E-12	+5.659523E+00
+3.738967E-03	+1.147388E-12	+5.694029E+00
+3.940777E-03	-1.183539E-12	+5.717098E+00
+4.139345E-03	+9.447443E-13	+5.735107E+00
+4.341563E-03	+1.046177E-12	+5.749424E+00
+4.539519E-03	+1.487960E-11	+5.762802E+00
+4.742548E-03	+3.022360E-12	+5.774712E+00
+4.941417E-03	+3.174336E-12	+5.785137E+00
+5.143631E-03	+2.616893E-12	+5.795162E+00
+5.341794E-03	+3.427703E-12	+5.803455E+00
+5.543502E-03	+2.920914E-12	+5.809330E+00
+5.742878E-03	+7.926576E-13	+5.814310E+00
+5.944587E-03	+9.953566E-13	+5.818426E+00
+6.142445E-03	+1.339484E-13	+5.821901E+00
+6.344560E-03	+3.630346E-12	+5.823315E+00
+6.542924E-03	+2.211537E-12	+5.824829E+00
+6.744735E-03	+1.147429E-12	+5.826836E+00
+6.943299E-03	-8.288370E-13	+5.828791E+00
+7.145517E-03	+1.198083E-12	+5.829004E+00
+7.343986E-03	+2.363609E-12	+5.828356E+00
+7.546505E-03	+1.046135E-12	+5.828672E+00
+7.748717E-03	+1.603440E-12	+5.829327E+00
+7.947386E-03	+1.552800E-12	+5.829809E+00
+8.148993E-03	+3.833045E-12	+5.830811E+00
+8.348069E-03	-1.588868E-12	+5.828896E+00
+8.549572E-03	+9.913695E-12	+5.839754E+00
+8.748443E-03	+3.408440E-11	+5.836329E+00
+8.950455E-03	+1.123117E-11	+5.832485E+00
+9.149328E-03	+1.087649E-11	+5.831429E+00
+9.350931E-03	+5.251799E-12	+5.831663E+00
+9.549502E-03	+1.356212E-11	+5.827368E+00
+9.751922E-03	+9.102982E-12	+5.830078E+00
+9.950081E-03	-3.666498E-12	+5.832426E+00

