[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	Voltage_2 (1)
-1.000801E-01	-5.539956E-05	+5.337763E+00
-9.808022E-02	-5.537670E-05	+5.337662E+00
-9.608465E-02	-5.535509E-05	+5.337578E+00
-9.408705E-02	-5.533338E-05	+5.337532E+00
-9.208978E-02	-5.531213E-05	+5.337490E+00
-9.008919E-02	-5.529086E-05	+5.337450E+00
-8.808742E-02	-5.526972E-05	+5.337427E+00
-8.608378E-02	-5.524864E-05	+5.337402E+00
-8.408174E-02	-5.522752E-05	+5.337393E+00
-8.207907E-02	-5.520651E-05	+5.337378E+00
-8.007617E-02	-5.518548E-05	+5.337360E+00
-7.807427E-02	-5.516436E-05	+5.337328E+00
-7.607327E-02	-5.514330E-05	+5.337357E+00
-7.407518E-02	-5.512244E-05	+5.337332E+00
-7.207830E-02	-5.510153E-05	+5.337313E+00
-7.008152E-02	-5.508063E-05	+5.337320E+00
-6.808458E-02	-5.505970E-05	+5.337313E+00
-6.608739E-02	-5.503882E-05	+5.337313E+00
-6.409013E-02	-5.501790E-05	+5.337317E+00
-6.208738E-02	-5.499697E-05	+5.337303E+00
-6.008492E-02	-5.497611E-05	+5.337307E+00
-5.808189E-02	-5.495507E-05	+5.337313E+00
-5.607657E-02	-5.493417E-05	+5.337311E+00
-5.407337E-02	-5.357769E-05	+5.206182E+00
-5.207061E-02	-5.155384E-05	+5.009464E+00
-5.006901E-02	-4.952760E-05	+4.812750E+00
-4.807264E-02	-4.750621E-05	+4.616705E+00
-4.607391E-02	-4.548571E-05	+4.420303E+00
-4.407646E-02	-4.346256E-05	+4.223934E+00
-4.208018E-02	-4.144294E-05	+4.027594E+00
-4.008276E-02	-3.941952E-05	+3.831017E+00
-3.808505E-02	-3.739634E-05	+3.634686E+00
-3.608185E-02	-3.536627E-05	+3.437490E+00
-3.407805E-02	-3.333816E-05	+3.240486E+00
-3.207485E-02	-3.131063E-05	+3.043314E+00
-3.007247E-02	-2.928214E-05	+2.846525E+00
-2.806948E-02	-2.725277E-05	+2.649662E+00
-2.606618E-02	-2.522550E-05	+2.452662E+00
-2.406268E-02	-2.319928E-05	+2.256031E+00
-2.206365E-02	-2.117646E-05	+2.059568E+00
-2.006614E-02	-1.915555E-05	+1.862368E+00
-1.806952E-02	-1.713074E-05	+1.665723E+00
-1.606816E-02	-1.510124E-05	+1.468935E+00
-1.407044E-02	-1.307862E-05	+1.272524E+00
-1.207232E-02	-1.105685E-05	+1.076206E+00
-1.009243E-02	-9.061553E-06	+8.818424E-01
-8.085287E-03	-7.031448E-06	+6.844301E-01
-6.077433E-03	-4.996660E-06	+4.867764E-01
-4.070086E-03	-2.962294E-06	+2.894163E-01
-2.078753E-03	-9.327196E-07	+9.376550E-02
-5.427544E-05	+1.109196E-06	-1.056306E-01
+1.901855E-03	+2.444687E-06	-2.979472E-01
+3.896805E-03	+5.114754E-06	-4.943082E-01
+5.899256E-03	+7.140499E-06	-6.911902E-01
+7.902211E-03	+9.171906E-06	-8.881454E-01
+9.898884E-03	+1.120252E-05	-1.083835E+00
+1.189200E-02	+1.320677E-05	-1.280163E+00
+1.388889E-02	+1.522798E-05	-1.476687E+00
+1.588638E-02	+1.725121E-05	-1.673197E+00
+1.788588E-02	+1.927660E-05	-1.869904E+00
+1.988225E-02	+2.129908E-05	-2.066230E+00
+2.187964E-02	+2.184522E-05	-2.261980E+00
+2.387631E-02	+2.534186E-05	-2.458340E+00
+2.588017E-02	+2.736925E-05	-2.655355E+00
+2.788262E-02	+2.939657E-05	-2.852230E+00
+2.988446E-02	+3.142438E-05	-3.049120E+00
+3.188651E-02	+3.345105E-05	-3.246269E+00
+3.389281E-02	+3.548331E-05	-3.443350E+00
+3.589436E-02	+3.750958E-05	-3.640368E+00
+3.789650E-02	+3.950682E-05	-3.834284E+00
+3.989327E-02	+4.048119E-05	-3.927376E+00
+4.189086E-02	+4.075726E-05	-3.952559E+00
+4.388775E-02	+4.091319E-05	-3.966002E+00
+4.588309E-02	+4.102609E-05	-3.975243E+00
+4.788045E-02	+4.111716E-05	-3.982132E+00
+4.988180E-02	+4.119399E-05	-3.987597E+00
+5.188211E-02	+4.126123E-05	-3.992104E+00
+5.388477E-02	+4.132136E-05	-3.995962E+00
+5.588773E-02	+4.137649E-05	-3.999336E+00
+5.788928E-02	+4.142794E-05	-4.002342E+00
+5.989266E-02	+4.147656E-05	-4.005096E+00
+6.189454E-02	+4.152259E-05	-4.007566E+00
+6.389824E-02	+4.156663E-05	-4.009838E+00
+6.589644E-02	+4.160861E-05	-4.011902E+00
+6.789649E-02	+4.164905E-05	-4.013823E+00
+6.989344E-02	+4.168793E-05	-4.015619E+00
+7.188836E-02	+4.172570E-05	-4.017290E+00
+7.388740E-02	+4.176272E-05	-4.018892E+00
+7.588455E-02	+4.179862E-05	-4.020390E+00
+7.788123E-02	+4.183375E-05	-4.021788E+00
+7.988419E-02	+4.186823E-05	-4.023129E+00
+8.188791E-02	+4.190196E-05	-4.024384E+00
+8.389252E-02	+4.193488E-05	-4.025581E+00
+8.589491E-02	+4.196730E-05	-4.026726E+00
+8.789782E-02	+4.199911E-05	-4.027802E+00
+8.990029E-02	+4.203040E-05	-4.028845E+00
+9.190089E-02	+4.206129E-05	-4.029833E+00
+9.389801E-02	+4.209153E-05	-4.030769E+00
+9.589519E-02	+4.212132E-05	-4.031666E+00
+9.789326E-02	+4.215078E-05	-4.032543E+00
+9.989217E-02	+4.218013E-05	-4.033379E+00

