[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	Voltage_2 (1)
-1.000738E-01	-1.771189E-05	+1.639264E+00
-9.807339E-02	-1.768826E-05	+1.639133E+00
-9.607651E-02	-1.766633E-05	+1.639039E+00
-9.407964E-02	-1.764472E-05	+1.638964E+00
-9.208252E-02	-1.762324E-05	+1.638893E+00
-9.008098E-02	-1.760173E-05	+1.638833E+00
-8.807881E-02	-1.758057E-05	+1.638791E+00
-8.607656E-02	-1.755924E-05	+1.638732E+00
-8.407368E-02	-1.753788E-05	+1.638697E+00
-8.207148E-02	-1.751670E-05	+1.638656E+00
-8.006870E-02	-1.749550E-05	+1.638604E+00
-7.806594E-02	-1.747424E-05	+1.638573E+00
-7.606359E-02	-1.745310E-05	+1.638528E+00
-7.406800E-02	-1.743190E-05	+1.638501E+00
-7.207131E-02	-1.741081E-05	+1.638470E+00
-7.007401E-02	-1.738988E-05	+1.638456E+00
-6.807680E-02	-1.736886E-05	+1.638420E+00
-6.607969E-02	-1.734773E-05	+1.638392E+00
-6.408230E-02	-1.732671E-05	+1.638358E+00
-6.207955E-02	-1.730562E-05	+1.638329E+00
-6.007715E-02	-1.728431E-05	+1.638293E+00
-5.807500E-02	-1.726327E-05	+1.638265E+00
-5.606867E-02	-1.724204E-05	+1.638234E+00
-5.406631E-02	-1.722076E-05	+1.638201E+00
-5.206493E-02	-1.719977E-05	+1.638175E+00
-5.006320E-02	-1.717875E-05	+1.638146E+00
-4.806550E-02	-1.715754E-05	+1.638123E+00
-4.606749E-02	-1.713650E-05	+1.638096E+00
-4.407200E-02	-1.711544E-05	+1.638064E+00
-4.207490E-02	-1.709433E-05	+1.638039E+00
-4.007731E-02	-1.707341E-05	+1.638016E+00
-3.808112E-02	-1.705228E-05	+1.637990E+00
-3.607674E-02	-1.703114E-05	+1.637968E+00
-3.407373E-02	-1.701004E-05	+1.637953E+00
-3.207107E-02	-1.698892E-05	+1.637921E+00
-3.006940E-02	-1.696785E-05	+1.637895E+00
-2.806655E-02	-1.694669E-05	+1.637877E+00
-2.606357E-02	-1.692558E-05	+1.637853E+00
-2.406110E-02	-1.690438E-05	+1.637816E+00
-2.206317E-02	-1.688338E-05	+1.637780E+00
-2.006467E-02	-1.686222E-05	+1.637767E+00
-1.806778E-02	-1.684278E-05	+1.637870E+00
-1.606744E-02	-1.509730E-05	+1.468453E+00
-1.406963E-02	-1.307066E-05	+1.271824E+00
-1.207172E-02	-1.104524E-05	+1.075159E+00
-1.009095E-02	-9.047078E-06	+8.801143E-01
-8.083510E-03	-7.010760E-06	+6.825294E-01
-6.076479E-03	-4.971387E-06	+4.845016E-01
-4.068537E-03	-2.934619E-06	+2.867203E-01
-2.077927E-03	-9.067022E-07	+9.117150E-02
-5.204541E-05	+1.106817E-06	-1.055610E-01
+1.903464E-03	+2.453487E-06	-3.005714E-01
+3.898602E-03	+5.163432E-06	-4.990208E-01
+5.901445E-03	+7.214324E-06	-6.983929E-01
+7.905097E-03	+9.266701E-06	-8.971803E-01
+9.901552E-03	+1.131476E-05	-1.094849E+00
+1.189426E-02	+1.333398E-05	-1.292603E+00
+1.389091E-02	+1.535730E-05	-1.489677E+00
+1.588778E-02	+1.737708E-05	-1.685550E+00
+1.788789E-02	+1.938611E-05	-1.880590E+00
+1.988434E-02	+2.136907E-05	-2.073350E+00
+2.188172E-02	+2.167452E-05	-2.176506E+00
+2.387888E-02	+2.259419E-05	-2.188929E+00
+2.588191E-02	+2.267365E-05	-2.194700E+00
+2.788496E-02	+2.273172E-05	-2.198305E+00
+2.988771E-02	+2.277940E-05	-2.200899E+00
+3.188984E-02	+2.282100E-05	-2.202936E+00
+3.389492E-02	+2.285905E-05	-2.204618E+00
+3.589765E-02	+2.289447E-05	-2.206072E+00
+3.789827E-02	+2.292824E-05	-2.207350E+00
+3.989522E-02	+2.296052E-05	-2.208475E+00
+4.189250E-02	+2.299153E-05	-2.209494E+00
+4.389006E-02	+2.302163E-05	-2.210390E+00
+4.588507E-02	+2.305078E-05	-2.211218E+00
+4.788277E-02	+2.307928E-05	-2.211971E+00
+4.988289E-02	+2.310732E-05	-2.212679E+00
+5.188370E-02	+2.313484E-05	-2.213341E+00
+5.388551E-02	+2.316187E-05	-2.213966E+00
+5.588825E-02	+2.318855E-05	-2.214550E+00
+5.789128E-02	+2.321481E-05	-2.215067E+00
+5.989335E-02	+2.324081E-05	-2.215588E+00
+6.189575E-02	+2.326645E-05	-2.216055E+00
+6.389839E-02	+2.329199E-05	-2.216513E+00
+6.589789E-02	+2.331710E-05	-2.216955E+00
+6.789769E-02	+2.334208E-05	-2.217367E+00
+6.989527E-02	+2.336679E-05	-2.217758E+00
+7.189071E-02	+2.339135E-05	-2.218128E+00
+7.388899E-02	+2.341553E-05	-2.218479E+00
+7.588535E-02	+2.343971E-05	-2.218815E+00
+7.788059E-02	+2.346372E-05	-2.219143E+00
+7.988447E-02	+2.348768E-05	-2.219452E+00
+8.188714E-02	+2.351147E-05	-2.219744E+00
+8.389351E-02	+2.353511E-05	-2.220026E+00
+8.589541E-02	+2.355862E-05	-2.220295E+00
+8.789818E-02	+2.358194E-05	-2.220564E+00
+8.990028E-02	+2.360522E-05	-2.220814E+00
+9.190343E-02	+2.362846E-05	-2.221046E+00
+9.389886E-02	+2.365142E-05	-2.221275E+00
+9.589685E-02	+2.367429E-05	-2.221481E+00
+9.789325E-02	+2.369703E-05	-2.221701E+00
+9.989258E-02	+2.371975E-05	-2.221901E+00

