Frequency	Vch1(V)	Vch2(V)	H(jw)	Phase of H	Time Difference(s)
5.00E+01	0.208	0.000	0.000	0.00	0.00E+00
8.00E+01	2.280	0.010	0.005	0.00	0.00E+00
1.00E+02	2.280	0.026	0.012	-2.16	-6.00E-05
1.20E+02	2.280	0.049	0.021	-17.28	-4.00E-04
1.50E+02	2.280	0.120	0.053	-21.60	-4.00E-04
2.00E+02	0.204	0.034	0.165	-28.80	-4.00E-04
3.00E+02	0.204	0.174	0.853	-43.20	-4.00E-04
4.00E+02	0.204	0.560	2.745	-60.48	-4.20E-04
5.00E+02	0.204	1.360	6.667	-75.60	-4.20E-04
6.00E+02	0.204	2.880	14.118	-95.04	-4.40E-04
7.00E+02	0.208	5.360	25.769	-110.88	-4.40E-04
7.50E+02	0.204	6.960	34.118	-124.20	-4.60E-04
8.00E+02	0.208	8.800	42.308	-141.12	-4.90E-04
9.00E+02	0.204	13.200	64.706	-158.76	-4.90E-04
1.00E+03	0.152	12.800	84.211	-180.00	-5.00E-04
1.04E+03	0.156	13.600	87.179	170.73	4.56E-04
1.07E+03	0.158	14.400	91.139	166.41	4.32E-04
1.25E+03	0.156	16.200	103.846	133.20	2.96E-04
1.35E+03	0.156	16.400	105.128	120.53	2.48E-04
1.50E+03	0.156	16.600	106.410	103.68	1.92E-04
1.75E+03	0.156	16.400	105.128	85.68	1.36E-04
1.85E+03	0.156	16.400	105.128	82.58	1.24E-04
2.00E+03	0.160	16.400	102.500	74.88	1.04E-04
3.00E+03	0.160	16.000	100.000	51.84	4.80E-05
4.00E+03	0.160	15.600	97.500	34.56	2.40E-05
5.00E+03	0.160	15.600	97.500	28.80	1.60E-05
7.00E+03	0.160	15.600	97.500	15.12	6.00E-06
8.00E+03	0.160	15.600	97.500	12.67	4.40E-06
1.00E+04	0.160	15.600	97.500	12.96	3.60E-06
1.04E+04	0.160	15.600	97.500	9.73	2.60E-06
1.07E+04	0.160	15.600	97.500	8.47	2.20E-06
1.50E+04	0.158	15.400	97.468	4.32	8.00E-07
2.00E+04	0.160	15.200	95.000	-2.88	-4.00E-07
3.00E+04	0.160	14.800	92.500	-5.40	-5.00E-07
4.00E+04	0.152	14.400	94.737	-11.52	-8.00E-07
5.00E+04	0.140	13.200	94.286	-18.00	-1.00E-06
