Frequency (Hz)	(vch2) vin (V)	iin  (mA)	|Z|  (ohms)	Phase of Z  (deg)
1.00E+01	0.026	9.806	3	0.0
2.00E+01	0.026	9.806	3	0.0
4.00E+01	0.026	9.685811487	3	4.3
8.00E+01	0.026	9.686	3	13.8
1.00E+02	0.027	9.686	3	15.8
2.00E+02	0.030	9.686	3	30.2
4.00E+02	0.041	9.686	4	53.3
8.00E+02	0.065	9.686	7	69.1
1.00E+03	0.079	9.686	8	75.6
2.00E+03	0.152	9.686	16	85.0
4.00E+03	0.294	9.766	30	82.1
8.00E+03	0.584	9.806	60	82.9
1.00E+04	0.720	9.806	73	80.6
2.00E+04	1.400	9.406	149	77.8
4.00E+04	2.560	9.005	284	76.3
8.00E+04	3.760	7.404	508	59.9
1.00E+05	4.000	7.004	571	53.3
2.00E+05	4.640	5.603	828	34.6
5.00E+05	4.800	5.003	959	10.1
7.50E+05	4.760	4.963	959	3.2
